security_id,loan_id,collateral_type,face_value,coupon_rate,payment_frequency,next_payment_date,calculated_payment,trust_requirement_flag
SEC-0052,LN-002254,Mbs,350836.74,0.0435,Quarterly,2026-12-13,4108.03,False
SEC-0053,LN-001956,Clo,355008.85,0.0553,Monthly,2026-03-18,1636.0,False
SEC-0054,LN-001586,Abs,344522.27,0.0476,Quarterly,2026-04-17,4099.82,False
SEC-0055,LN-001022,Mbs,202475.78,0.0639,Monthly,2026-06-30,1078.18,True
SEC-0056,LN-001130,Clo,203478.3,0.0463,Monthly,2026-07-02,785.09,False
SEC-0057,LN-001501,Clo,134860.64,0.0327,Monthly,2026-10-18,367.5,True
SEC-0058,LN-000703,Abs,86848.51,0.0738,Monthly,2026-05-07,534.12,False
SEC-0059,LN-002450,Clo,349362.92,0.0371,Semi-Annual,2026-06-28,6480.68,False
SEC-0060,LN-001580,Cmo,55662.51,0.0609,Monthly,2026-12-15,282.49,False
SEC-0061,LN-000162,Cmo,469518.22,0.0322,Monthly,2026-10-23,1259.87,False
SEC-0062,LN-000202,Clo,415076.29,0.0415,Semi-Annual,2026-04-20,8612.83,False
SEC-0063,LN-001982,Abs,430177.81,0.0471,Monthly,2026-06-01,1688.45,True
SEC-0064,LN-000996,Clo,454267.72,0.0346,Quarterly,2026-03-27,3929.42,False
SEC-0065,LN-002318,Abs,210216.44,0.0475,Semi-Annual,2026-11-05,4992.64,False
SEC-0066,LN-000816,Abs,424883.35,0.0329,Semi-Annual,2026-08-31,6989.33,False
SEC-0067,LN-000456,Cmo,87450.04,0.053,Monthly,2026-04-03,386.24,False
SEC-0068,LN-001276,Cmo,20604.48,0.0582,Monthly,2026-04-28,99.93,True
SEC-0069,LN-001017,Mbs,394596.78,0.0281,Semi-Annual,2026-04-21,5544.08,False
SEC-0070,LN-002344,Abs,46650.36,0.0686,Monthly,2026-04-11,266.68,False
SEC-0071,LN-000338,Clo,494377.09,0.0343,Monthly,2026-06-14,1413.09,True
SEC-0072,LN-000879,Abs,340650.25,0.0363,Monthly,2026-07-21,1030.47,True
SEC-0073,LN-001077,Cmo,379190.36,0.0581,Monthly,2026-12-25,1835.91,False
SEC-0074,LN-000792,Abs,130443.89,0.0484,Quarterly,2026-04-20,1578.37,False
SEC-0075,LN-002265,Mbs,340194.04,0.05,Quarterly,2026-07-09,4252.43,False
SEC-0076,LN-000764,Clo,31177.77,0.0314,Semi-Annual,2026-07-25,489.49,False
SEC-0077,LN-002236,Abs,420534.6,0.0653,Quarterly,2026-10-09,6865.23,False
SEC-0078,LN-000380,Clo,93115.81,0.0559,Monthly,2026-09-29,433.76,False
SEC-0079,LN-000493,Clo,351705.45,0.0318,Monthly,2026-10-31,932.02,False
SEC-0080,LN-001181,Cmo,119995.45,0.0437,Semi-Annual,2026-10-08,2621.9,True
SEC-0081,LN-002063,Abs,43542.05,0.0655,Monthly,2026-10-22,237.67,False
SEC-0082,LN-000065,Clo,245931.9,0.0534,Monthly,2026-08-23,1094.4,True
SEC-0083,LN-001368,Cmo,92950.24,0.0304,Semi-Annual,2026-03-23,1412.84,False
SEC-0084,LN-001153,Mbs,367427.55,0.0436,Quarterly,2026-09-30,4004.96,False
SEC-0085,LN-002028,Mbs,126407.26,0.0371,Monthly,2026-05-14,390.81,False
SEC-0086,LN-001496,Abs,177811.55,0.0509,Semi-Annual,2026-12-13,4525.3,True
SEC-0087,LN-001163,Clo,288045.23,0.0672,Semi-Annual,2026-03-18,9678.32,True
SEC-0088,LN-001523,Abs,149634.46,0.0468,Monthly,2026-04-16,583.57,False
SEC-0089,LN-000392,Clo,195214.18,0.0467,Semi-Annual,2026-04-07,4558.25,False
SEC-0090,LN-001699,Cmo,409654.67,0.0703,Monthly,2026-04-21,2399.89,False
SEC-0091,LN-000419,Mbs,97812.83,0.0538,Quarterly,2026-09-14,1315.58,False
SEC-0092,LN-002337,Mbs,50278.78,0.0533,Semi-Annual,2026-11-27,1339.93,False
SEC-0093,LN-000379,Mbs,170895.31,0.0381,Semi-Annual,2026-05-08,3255.56,True
SEC-0094,LN-001797,Mbs,217944.62,0.0554,Monthly,2026-08-10,1006.18,True
SEC-0095,LN-002279,Abs,275903.05,0.0538,Monthly,2026-08-16,1236.97,True
SEC-0096,LN-002089,Clo,192487.61,0.0448,Monthly,2026-04-28,718.62,False
SEC-0097,LN-002183,Abs,397056.73,0.0745,Quarterly,2026-08-06,7395.18,True
SEC-0098,LN-000201,Cmo,29266.55,0.0691,Monthly,2026-10-25,168.53,True
SEC-0099,LN-001864,Mbs,221566.09,0.0625,Monthly,2026-09-26,1153.99,False
SEC-0100,LN-000780,Clo,197305.4,0.0519,Monthly,2026-10-03,853.35,False
SEC-0001,LN-000503,Abs,327313.46,0.0481,Monthly,2026-03-30,1311.98,False
SEC-0002,LN-002455,Clo,483475.36,0.0342,Monthly,2026-11-12,1377.9,False
SEC-0003,LN-001752,Abs,260083.95,0.0403,Semi-Annual,2026-06-03,5240.69,True
SEC-0004,LN-000805,Clo,493569.66,0.0637,Monthly,2026-12-13,2620.03,False
SEC-0005,LN-002147,Clo,158102.2,0.0477,Monthly,2026-07-05,628.46,True
SEC-0006,LN-001896,Mbs,25125.38,0.0691,Semi-Annual,2026-05-23,868.08,False
SEC-0007,LN-001571,Abs,91174.95,0.0324,Quarterly,2026-10-01,738.52,False
SEC-0008,LN-000961,Cmo,203611.19,0.0504,Monthly,2026-12-19,855.17,False
SEC-0009,LN-001486,Clo,165003.62,0.0573,Monthly,2026-08-13,787.89,False
SEC-0010,LN-001029,Cmo,57556.52,0.0508,Quarterly,2026-05-27,730.97,False
SEC-0011,LN-000503,Mbs,222003.45,0.0695,Monthly,2026-08-14,1285.77,False
SEC-0012,LN-000398,Cmo,175676.73,0.0745,Quarterly,2026-09-22,3271.98,True
SEC-0013,LN-000871,Clo,70083.42,0.0308,Monthly,2026-03-20,179.88,False
SEC-0014,LN-000393,Clo,155097.39,0.0315,Monthly,2026-12-23,407.13,True
SEC-0015,LN-000207,Clo,444353.67,0.0315,Monthly,2026-12-24,1166.43,False
SEC-0016,LN-001039,Abs,158003.94,0.0591,Quarterly,2026-05-26,2334.51,False
SEC-0017,LN-001882,Cmo,359838.16,0.0436,Semi-Annual,2026-05-17,7844.47,True
SEC-0018,LN-001485,Abs,309903.07,0.0617,Monthly,2026-04-05,1593.42,False
SEC-0019,LN-000864,Clo,219318.77,0.0453,Quarterly,2026-03-17,2483.79,True
SEC-0020,LN-000564,Clo,127122.56,0.0564,Monthly,2026-10-02,597.48,False
SEC-0021,LN-001021,Mbs,190817.2,0.0635,Monthly,2026-12-15,1009.74,True
SEC-0022,LN-000096,Mbs,300132.53,0.0524,Semi-Annual,2026-12-20,7863.47,False
SEC-0023,LN-001924,Clo,181869.08,0.052,Monthly,2026-04-27,788.1,False
SEC-0024,LN-001758,Abs,115299.25,0.0294,Semi-Annual,2026-08-18,1694.9,False
SEC-0025,LN-002279,Abs,67066.75,0.0455,Quarterly,2026-06-30,762.88,False
SEC-0026,LN-001679,Clo,441085.8,0.0523,Semi-Annual,2026-09-07,11534.39,True
SEC-0027,LN-000541,Cmo,225753.36,0.0481,Quarterly,2026-07-01,2714.68,False
SEC-0028,LN-001060,Abs,316352.08,0.07,Monthly,2026-10-12,1845.39,True
SEC-0029,LN-001184,Clo,250301.08,0.0703,Monthly,2026-12-02,1466.35,False
SEC-0030,LN-001723,Mbs,437557.59,0.0661,Monthly,2026-05-26,2410.21,False
SEC-0031,LN-001820,Clo,277998.08,0.0438,Monthly,2026-06-05,1014.69,False
SEC-0032,LN-001598,Abs,245582.89,0.0609,Monthly,2026-06-17,1246.33,True
SEC-0033,LN-000796,Clo,463054.49,0.0448,Monthly,2026-07-06,1728.74,True
SEC-0034,LN-001052,Cmo,362647.9,0.0366,Semi-Annual,2026-07-22,6636.46,True
SEC-0035,LN-001644,Cmo,64659.45,0.0421,Monthly,2026-06-22,226.85,False
SEC-0036,LN-001364,Abs,97075.19,0.0285,Quarterly,2026-05-12,691.66,True
SEC-0037,LN-001982,Clo,395690.2,0.0416,Semi-Annual,2026-06-15,8230.36,False
SEC-0038,LN-001355,Cmo,419567.15,0.048,Semi-Annual,2026-12-30,10069.61,True
SEC-0039,LN-001664,Cmo,277143.51,0.0728,Monthly,2026-04-11,1681.34,True
SEC-0040,LN-001530,Mbs,281683.06,0.0407,Monthly,2026-12-21,955.38,False
SEC-0041,LN-002039,Abs,319647.15,0.0701,Monthly,2026-11-06,1867.27,True
SEC-0042,LN-001497,Mbs,225166.73,0.0364,Monthly,2026-12-21,683.01,False
SEC-0043,LN-002238,Mbs,343297.57,0.0345,Monthly,2026-04-21,986.98,False
SEC-0044,LN-001409,Cmo,63155.82,0.0509,Semi-Annual,2026-08-10,1607.32,True
SEC-0045,LN-001401,Clo,481026.83,0.0586,Monthly,2026-04-18,2349.01,False
SEC-0046,LN-001307,Mbs,377575.86,0.0272,Quarterly,2026-07-21,2567.52,False
SEC-0047,LN-000973,Abs,319275.36,0.0361,Semi-Annual,2026-05-04,5762.92,True
SEC-0048,LN-001769,Abs,164997.81,0.0478,Monthly,2026-06-24,657.24,True
SEC-0049,LN-001283,Clo,88868.19,0.0416,Monthly,2026-11-19,308.08,False
SEC-0050,LN-000710,Abs,210578.05,0.0606,Quarterly,2026-08-31,3004.33,True
SEC-0051,LN-001480,Mbs,334172.6,0.0506,Monthly,2026-09-13,1409.09,False
SEC-0052,LN-001435,Clo,320517.77,0.033,Quarterly,2026-05-19,2644.27,False
SEC-0053,LN-000649,Abs,197494.17,0.0697,Monthly,2026-07-13,1147.11,True
SEC-0054,LN-000318,Abs,310510.33,0.0396,Semi-Annual,2026-05-05,6148.1,False
SEC-0055,LN-001258,Mbs,408736.66,0.0616,Monthly,2026-08-07,2098.18,False
SEC-0056,LN-000684,Mbs,22879.54,0.064,Monthly,2026-04-19,122.02,False
SEC-0057,LN-000664,Mbs,230804.31,0.0732,Quarterly,2026-06-22,4640.83,False
SEC-0058,LN-001999,Mbs,381692.06,0.0499,Monthly,2026-08-24,1587.2,False
SEC-0059,LN-001632,Clo,277610.79,0.0558,Monthly,2026-11-18,1290.89,True
SEC-0060,LN-001496,Clo,329223.28,0.0417,Monthly,2026-10-31,1144.05,False
SEC-0061,LN-001137,Clo,263171.43,0.0589,Monthly,2026-08-30,1291.73,False
SEC-0062,LN-001854,Cmo,496018.53,0.0482,Quarterly,2026-08-18,5977.02,False
SEC-0063,LN-001521,Mbs,36764.55,0.0469,Quarterly,2026-06-01,431.06,False
SEC-0064,LN-002490,Mbs,250611.96,0.0678,Quarterly,2026-12-29,4247.87,False
SEC-0065,LN-000564,Clo,54794.11,0.0275,Quarterly,2026-12-30,376.71,False
SEC-0066,LN-001292,Abs,88294.93,0.0691,Monthly,2026-09-17,508.43,False
SEC-0067,LN-001637,Abs,197688.79,0.0676,Monthly,2026-08-23,1113.65,False
SEC-0068,LN-000699,Mbs,86214.64,0.0503,Quarterly,2026-10-20,1084.15,False
SEC-0069,LN-002161,Mbs,482206.71,0.0495,Semi-Annual,2026-06-09,11934.62,True
SEC-0070,LN-000002,Clo,473926.99,0.0431,Monthly,2026-03-17,1702.19,False
SEC-0071,LN-000642,Mbs,174693.73,0.0747,Monthly,2026-08-22,1087.47,True
SEC-0072,LN-002268,Abs,323476.38,0.0306,Monthly,2026-07-19,824.86,True
SEC-0073,LN-001590,Abs,271539.13,0.0545,Quarterly,2026-07-06,3699.72,False
SEC-0074,LN-000855,Mbs,409637.62,0.0591,Quarterly,2026-10-24,6052.4,False
SEC-0075,LN-001760,Clo,317448.35,0.0717,Monthly,2026-08-03,1896.75,False
SEC-0076,LN-002433,Clo,10123.7,0.064,Quarterly,2026-09-15,161.98,False
SEC-0077,LN-001662,Abs,383955.45,0.0572,Monthly,2026-05-22,1830.19,True
SEC-0078,LN-001154,Clo,375955.58,0.0308,Monthly,2026-08-31,964.95,False
SEC-0079,LN-001077,Abs,259764.13,0.0437,Semi-Annual,2026-11-15,5675.85,True
SEC-0080,LN-001708,Mbs,452430.3,0.0319,Monthly,2026-11-06,1202.71,True
SEC-0081,LN-001696,Abs,455138.64,0.0691,Monthly,2026-10-29,2620.84,False
SEC-0082,LN-001734,Mbs,266716.72,0.0625,Semi-Annual,2026-09-14,8334.9,False
SEC-0083,LN-001440,Clo,307914.23,0.0629,Semi-Annual,2026-08-18,9683.9,True
SEC-0084,LN-002295,Cmo,498295.82,0.0576,Quarterly,2026-11-19,7175.46,False
SEC-0085,LN-000836,Cmo,156421.92,0.0504,Monthly,2026-12-22,656.97,False
SEC-0086,LN-000203,Cmo,169062.45,0.0325,Monthly,2026-05-09,457.88,True
SEC-0087,LN-000123,Abs,99559.21,0.0415,Semi-Annual,2026-06-12,2065.85,True
SEC-0088,LN-000401,Cmo,448974.8,0.0318,Quarterly,2026-04-25,3569.35,False
SEC-0089,LN-000767,Abs,374799.31,0.0612,Semi-Annual,2026-08-05,11468.86,True
SEC-0090,LN-000294,Clo,61765.0,0.033,Monthly,2026-05-25,169.85,False
SEC-0091,LN-002328,Mbs,491066.0,0.0601,Monthly,2026-12-15,2459.42,False
SEC-0092,LN-000198,Cmo,368171.24,0.0596,Semi-Annual,2026-06-23,11339.01,False
SEC-0093,LN-001931,Abs,426755.83,0.048,Quarterly,2026-07-27,5121.07,False
SEC-0094,LN-002192,Clo,33593.89,0.0318,Monthly,2026-04-23,89.02,False
SEC-0095,LN-000609,Clo,257430.85,0.0407,Monthly,2026-04-22,873.12,True
SEC-0096,LN-001148,Cmo,352313.16,0.041,Monthly,2026-03-24,1203.74,False
SEC-0097,LN-000187,Clo,276043.83,0.06,Monthly,2026-11-29,1380.22,False
SEC-0098,LN-001795,Clo,336657.26,0.0307,Monthly,2026-03-30,861.28,True
SEC-0099,LN-000660,Clo,410758.29,0.0665,Monthly,2026-10-08,2276.29,False
SEC-0100,LN-001956,Abs,193425.16,0.0631,Quarterly,2026-07-01,3051.28,True
SEC-0001,LN-002451,Clo,425847.65,0.0343,Monthly,2026-04-02,1217.21,True
SEC-0002,LN-001370,Clo,89828.89,0.061,Semi-Annual,2026-12-22,2739.78,False
SEC-0003,LN-001987,Clo,142734.17,0.0584,Monthly,2026-07-26,694.64,False
SEC-0004,LN-001535,Clo,31239.35,0.0624,Quarterly,2026-12-18,487.33,False
SEC-0005,LN-000147,Clo,188569.14,0.0344,Monthly,2026-12-16,540.56,True
SEC-0006,LN-001735,Abs,196155.68,0.0329,Quarterly,2026-11-11,1613.38,False
SEC-0007,LN-001844,Clo,404582.59,0.0368,Semi-Annual,2026-05-30,7444.32,True
SEC-0008,LN-000489,Clo,330034.03,0.0433,Semi-Annual,2026-09-18,7145.24,False
SEC-0009,LN-001960,Mbs,223994.05,0.0647,Quarterly,2026-10-01,3623.1,False
SEC-0010,LN-001664,Clo,329535.85,0.0619,Monthly,2026-07-07,1699.86,False
SEC-0011,LN-002386,Clo,35863.84,0.0713,Semi-Annual,2026-08-10,1278.55,False
SEC-0012,LN-000641,Abs,98333.05,0.0279,Semi-Annual,2026-05-22,1371.75,False
SEC-0013,LN-001803,Clo,317204.45,0.0256,Semi-Annual,2026-11-07,4060.22,False
SEC-0014,LN-001970,Abs,324269.74,0.06,Monthly,2026-11-26,1621.35,False
SEC-0015,LN-002199,Cmo,389325.98,0.039,Semi-Annual,2026-12-01,7591.86,False
SEC-0016,LN-001439,Clo,207469.88,0.0417,Monthly,2026-04-30,720.96,False
SEC-0017,LN-001635,Mbs,364051.51,0.0523,Monthly,2026-10-04,1586.66,False
SEC-0018,LN-000263,Abs,345150.36,0.0301,Monthly,2026-09-17,865.75,False
SEC-0019,LN-001788,Cmo,482062.76,0.0571,Monthly,2026-11-27,2293.82,True
SEC-0020,LN-002192,Mbs,115413.81,0.0413,Quarterly,2026-03-20,1191.65,True
SEC-0021,LN-002394,Abs,280322.99,0.0566,Semi-Annual,2026-07-15,7933.14,False
SEC-0022,LN-000624,Cmo,304864.58,0.0667,Quarterly,2026-06-07,5083.62,False
SEC-0023,LN-001017,Mbs,499337.46,0.0336,Quarterly,2026-12-03,4194.43,False
SEC-0024,LN-000881,Clo,108580.23,0.0715,Quarterly,2026-05-25,1940.87,False
SEC-0025,LN-002050,Mbs,266376.83,0.0515,Quarterly,2026-10-29,3429.6,False
SEC-0026,LN-001328,Mbs,179630.8,0.0711,Monthly,2026-06-04,1064.31,False
SEC-0027,LN-002302,Mbs,267687.55,0.0354,Semi-Annual,2026-06-14,4738.07,False
SEC-0028,LN-000453,Abs,123743.02,0.0552,Quarterly,2026-12-29,1707.65,True
SEC-0029,LN-001184,Clo,33330.07,0.0452,Quarterly,2026-12-29,376.63,False
SEC-0030,LN-002057,Clo,290557.07,0.0637,Quarterly,2026-05-28,4627.12,False
SEC-0031,LN-001683,Abs,174568.61,0.0553,Semi-Annual,2026-11-17,4826.82,False
SEC-0032,LN-002256,Mbs,99151.29,0.0497,Monthly,2026-09-14,410.65,False
SEC-0033,LN-001155,Clo,168728.43,0.0706,Monthly,2026-04-04,992.69,True
SEC-0034,LN-000404,Mbs,34147.3,0.0439,Quarterly,2026-07-05,374.77,True
SEC-0035,LN-002200,Clo,475716.69,0.036,Monthly,2026-11-19,1427.15,False
SEC-0036,LN-002102,Abs,294762.48,0.0554,Semi-Annual,2026-07-11,8164.92,True
SEC-0037,LN-001697,Cmo,409236.65,0.0562,Monthly,2026-04-16,1916.59,True
SEC-0038,LN-000628,Mbs,217327.92,0.047,Monthly,2026-07-28,851.2,False
SEC-0039,LN-000587,Clo,452624.19,0.0493,Semi-Annual,2026-09-20,11157.19,False
SEC-0040,LN-001649,Clo,246825.93,0.073,Monthly,2026-07-12,1501.52,False
SEC-0041,LN-001444,Clo,291233.21,0.0616,Quarterly,2026-04-05,4484.99,True
SEC-0042,LN-001446,Abs,250979.05,0.0305,Monthly,2026-06-28,637.91,False
SEC-0043,LN-000104,Abs,369306.36,0.0356,Monthly,2026-12-05,1095.61,False
SEC-0044,LN-000254,Cmo,287661.48,0.0738,Quarterly,2026-09-15,5307.35,False
SEC-0045,LN-001497,Abs,143083.47,0.0613,Monthly,2026-09-29,730.92,False
SEC-0046,LN-000099,Mbs,81314.37,0.0708,Semi-Annual,2026-11-10,2878.53,False
SEC-0047,LN-002201,Abs,307000.95,0.0402,Quarterly,2026-11-02,3085.36,False
SEC-0048,LN-001885,Clo,249698.18,0.0621,Monthly,2026-04-07,1292.19,False
SEC-0049,LN-001920,Mbs,57028.09,0.0607,Quarterly,2026-04-04,865.4,True
SEC-0050,LN-000878,Abs,203852.56,0.0397,Quarterly,2026-08-27,2023.24,True
SEC-0051,LN-000338,Mbs,262240.45,0.0525,Monthly,2026-05-06,1147.3,True
SEC-0052,LN-000957,Mbs,415177.68,0.0564,Monthly,2026-12-06,1951.34,True
SEC-0053,LN-001705,Abs,47289.52,0.0491,Monthly,2026-08-02,193.49,True
SEC-0054,LN-000161,Mbs,180762.72,0.0664,Quarterly,2026-07-27,3000.66,False
SEC-0055,LN-001604,Clo,413101.5,0.0666,Quarterly,2026-12-18,6878.14,True
SEC-0056,LN-000398,Clo,327727.73,0.0675,Quarterly,2026-12-31,5530.41,False
SEC-0057,LN-001301,Abs,152079.58,0.0652,Quarterly,2026-06-12,2478.9,False
SEC-0058,LN-000816,Abs,424214.21,0.0494,Quarterly,2026-09-23,5239.05,True
SEC-0059,LN-001528,Clo,251713.85,0.0441,Quarterly,2026-09-24,2775.15,False
SEC-0060,LN-001920,Abs,254192.43,0.0666,Quarterly,2026-09-18,4232.3,True
SEC-0061,LN-001416,Clo,488527.8,0.0495,Monthly,2026-04-23,2015.18,False
SEC-0062,LN-001159,Mbs,474087.09,0.0373,Semi-Annual,2026-12-04,8841.72,False
SEC-0063,LN-001219,Abs,185681.01,0.0504,Quarterly,2026-07-21,2339.58,True
SEC-0064,LN-000401,Cmo,78883.77,0.0321,Semi-Annual,2026-09-23,1266.08,False
SEC-0065,LN-000640,Clo,169576.7,0.0596,Quarterly,2026-07-07,2526.69,False
SEC-0066,LN-000460,Clo,24936.8,0.0418,Monthly,2026-12-04,86.86,True
SEC-0067,LN-000955,Mbs,20176.26,0.038,Quarterly,2026-10-08,205.38,False
SEC-0068,LN-000470,Cmo,203805.85,0.0728,Monthly,2026-09-11,1236.42,False
SEC-0069,LN-001046,Cmo,471099.71,0.0638,Quarterly,2026-09-07,7514.04,True
SEC-0070,LN-001694,Cmo,436965.1,0.0644,Monthly,2026-11-19,2097.1,False
SEC-0071,LN-002086,Clo,260606.99,0.0562,Semi-Annual,2026-11-16,7323.06,True
SEC-0072,LN-002278,Clo,286960.93,0.067,Quarterly,2026-03-18,4806.6,False
SEC-0073,LN-000563,Cmo,12907.41,0.063,Quarterly,2026-11-26,203.29,True
SEC-0074,LN-002486,Abs,115595.57,0.0549,Monthly,2026-05-25,528.85,False
SEC-0075,LN-001800,Cmo,22139.32,0.0731,Semi-Annual,2026-10-26,809.19,False
SEC-0076,LN-002075,Mbs,379724.37,0.0346,Semi-Annual,2026-06-07,6569.23,True
SEC-0077,LN-000226,Cmo,81366.44,0.0722,Quarterly,2026-07-10,1468.66,False
SEC-0078,LN-000798,Cmo,435833.08,0.0451,Monthly,2026-04-23,1638.01,True
SEC-0079,LN-002332,Cmo,325228.91,0.0514,Quarterly,2026-12-03,4179.19,False
SEC-0080,LN-000960,Abs,122415.15,0.0311,Monthly,2026-08-05,317.26,True
SEC-0081,LN-001505,Cmo,87282.96,0.052,Quarterly,2026-07-01,1134.68,False
SEC-0082,LN-000453,Cmo,317536.1,0.0556,Monthly,2026-05-30,1471.25,False
SEC-0083,LN-000816,Clo,451410.12,0.0749,Quarterly,2026-06-18,8452.65,False
SEC-0084,LN-000659,Cmo,361996.51,0.0738,Quarterly,2026-06-03,6678.84,True
SEC-0085,LN-000547,Mbs,180787.86,0.0733,Monthly,2026-09-16,1104.31,False
SEC-0086,LN-001216,Clo,297817.96,0.0424,Monthly,2026-05-14,1052.29,False
SEC-0087,LN-000017,Abs,162273.23,0.0746,Semi-Annual,2026-07-10,6052.79,False
SEC-0088,LN-001244,Clo,499583.29,0.0478,Monthly,2026-10-13,1990.01,False
SEC-0089,LN-002206,Abs,376931.2,0.0676,Quarterly,2026-08-31,6370.14,False
SEC-0090,LN-001070,Abs,311047.0,0.0358,Monthly,2026-05-12,927.96,False
SEC-0091,LN-002147,Mbs,217396.98,0.0503,Monthly,2026-11-16,911.26,False
SEC-0092,LN-001769,Cmo,312894.62,0.0733,Monthly,2026-11-15,1911.26,True
SEC-0093,LN-001061,Mbs,177391.87,0.0724,Quarterly,2026-11-15,3210.79,False
SEC-0094,LN-002328,Clo,24143.77,0.0592,Monthly,2026-06-30,119.11,False
SEC-0095,LN-000302,Abs,203593.38,0.0649,Semi-Annual,2026-06-05,6606.61,True
