security_id,loan_id,collateral_type,face_value,coupon_rate,payment_frequency,expected_payment,actual_payment,variance_amt,variance_pct,trust_requirement_flag,compliance_status
SEC-0010,LN-001029,Cmo,57556.52,0.0508,Quarterly,730.97,730.97,0.0,0.0,False,COMPLIANT
SEC-0011,LN-000503,Mbs,222003.45,0.0695,Monthly,1285.77,1285.77,0.0,0.0,False,COMPLIANT
SEC-0012,LN-000398,Cmo,175676.73,0.0745,Quarterly,3271.98,3271.98,0.0,0.0,True,COMPLIANT
SEC-0013,LN-000871,Clo,70083.42,0.0308,Monthly,179.88,179.88,0.0,0.0,False,COMPLIANT
SEC-0014,LN-000393,Clo,155097.39,0.0315,Monthly,407.13,407.13,0.0,0.0,True,COMPLIANT
SEC-0015,LN-000207,Clo,444353.67,0.0315,Monthly,1166.43,1166.43,0.0,0.0,False,COMPLIANT
SEC-0016,LN-001039,Abs,158003.94,0.0591,Quarterly,2334.51,2334.51,0.0,0.0,False,COMPLIANT
SEC-0017,LN-001882,Cmo,359838.16,0.0436,Semi-Annual,7844.47,7844.47,0.0,0.0,True,COMPLIANT
SEC-0018,LN-001485,Abs,309903.07,0.0617,Monthly,1593.42,1593.42,0.0,0.0,False,COMPLIANT
SEC-0019,LN-000864,Clo,219318.77,0.0453,Quarterly,2483.79,2483.79,0.0,0.0,True,COMPLIANT
SEC-0020,LN-000564,Clo,127122.56,0.0564,Monthly,597.48,597.48,0.0,0.0,False,COMPLIANT
SEC-0021,LN-001021,Mbs,190817.2,0.0635,Monthly,1009.74,1009.74,0.0,0.0,True,COMPLIANT
SEC-0022,LN-000096,Mbs,300132.53,0.0524,Semi-Annual,7863.47,7863.47,0.0,0.0,False,COMPLIANT
SEC-0023,LN-001924,Clo,181869.08,0.052,Monthly,788.1,788.1,0.0,0.0,False,COMPLIANT
SEC-0024,LN-001758,Abs,115299.25,0.0294,Semi-Annual,1694.9,1694.9,0.0,0.0,False,COMPLIANT
SEC-0025,LN-002279,Abs,67066.75,0.0455,Quarterly,762.88,762.88,0.0,0.0,False,COMPLIANT
SEC-0026,LN-001679,Clo,441085.8,0.0523,Semi-Annual,11534.39,11534.39,0.0,0.0,True,COMPLIANT
SEC-0027,LN-000541,Cmo,225753.36,0.0481,Quarterly,2714.68,2714.68,0.0,0.0,False,COMPLIANT
SEC-0028,LN-001060,Abs,316352.08,0.07,Monthly,1845.39,1845.39,0.0,0.0,True,COMPLIANT
SEC-0029,LN-001184,Clo,250301.08,0.0703,Monthly,1466.35,1466.35,0.0,0.0,False,COMPLIANT
SEC-0030,LN-001723,Mbs,437557.59,0.0661,Monthly,2410.21,2410.21,0.0,0.0,False,COMPLIANT
SEC-0031,LN-001820,Clo,277998.08,0.0438,Monthly,1014.69,1014.69,0.0,0.0,False,COMPLIANT
SEC-0032,LN-001598,Abs,245582.89,0.0609,Monthly,1246.33,1246.33,0.0,0.0,True,COMPLIANT
SEC-0033,LN-000796,Clo,463054.49,0.0448,Monthly,1728.74,1728.74,0.0,0.0,True,COMPLIANT
SEC-0034,LN-001052,Cmo,362647.9,0.0366,Semi-Annual,6636.46,6636.46,0.0,0.0,True,COMPLIANT
SEC-0035,LN-001644,Cmo,64659.45,0.0421,Monthly,226.85,226.85,0.0,0.0,False,COMPLIANT
SEC-0036,LN-001364,Abs,97075.19,0.0285,Quarterly,691.66,691.66,0.0,0.0,True,COMPLIANT
SEC-0037,LN-001982,Clo,395690.2,0.0416,Semi-Annual,8230.36,8230.36,0.0,0.0,False,COMPLIANT
SEC-0038,LN-001355,Cmo,419567.15,0.048,Semi-Annual,10069.61,10069.61,0.0,0.0,True,COMPLIANT
SEC-0039,LN-001664,Cmo,277143.51,0.0728,Monthly,1681.34,1681.34,0.0,0.0,True,COMPLIANT
SEC-0040,LN-001530,Mbs,281683.06,0.0407,Monthly,955.38,955.38,0.0,0.0,False,COMPLIANT
SEC-0041,LN-002039,Abs,319647.15,0.0701,Monthly,1867.27,1867.27,0.0,0.0,True,COMPLIANT
SEC-0042,LN-001497,Mbs,225166.73,0.0364,Monthly,683.01,683.01,0.0,0.0,False,COMPLIANT
SEC-0043,LN-002238,Mbs,343297.57,0.0345,Monthly,986.98,986.98,0.0,0.0,False,COMPLIANT
SEC-0044,LN-001409,Cmo,63155.82,0.0509,Semi-Annual,1607.32,1607.32,0.0,0.0,True,COMPLIANT
SEC-0045,LN-001401,Clo,481026.83,0.0586,Monthly,2349.01,2349.01,0.0,0.0,False,COMPLIANT
SEC-0046,LN-001307,Mbs,377575.86,0.0272,Quarterly,2567.52,2567.52,0.0,0.0,False,COMPLIANT
SEC-0047,LN-000973,Abs,319275.36,0.0361,Semi-Annual,5762.92,5762.92,0.0,0.0,True,COMPLIANT
SEC-0048,LN-001769,Abs,164997.81,0.0478,Monthly,657.24,657.24,0.0,0.0,True,COMPLIANT
SEC-0049,LN-001283,Clo,88868.19,0.0416,Monthly,308.08,308.08,0.0,0.0,False,COMPLIANT
SEC-0050,LN-000710,Abs,210578.05,0.0606,Quarterly,3190.26,3004.33,-185.9300000000003,0.058281,True,NON-COMPLIANT
SEC-0051,LN-001480,Mbs,334172.6,0.0506,Monthly,1409.09,1409.09,0.0,0.0,False,COMPLIANT
SEC-0052,LN-001435,Clo,320517.77,0.033,Quarterly,2644.27,2644.27,0.0,0.0,False,COMPLIANT
SEC-0053,LN-000649,Abs,197494.17,0.0697,Monthly,1147.11,1147.11,0.0,0.0,True,COMPLIANT
SEC-0054,LN-000318,Abs,310510.33,0.0396,Semi-Annual,6148.1,6148.1,0.0,0.0,False,COMPLIANT
SEC-0055,LN-001258,Mbs,408736.66,0.0616,Monthly,2098.18,2098.18,0.0,0.0,False,COMPLIANT
SEC-0056,LN-000684,Mbs,22879.54,0.064,Monthly,122.02,122.02,0.0,0.0,False,COMPLIANT
SEC-0057,LN-000664,Mbs,230804.31,0.0732,Quarterly,4223.72,4640.83,417.1099999999997,0.098754,False,NON-COMPLIANT
SEC-0058,LN-001999,Mbs,381692.06,0.0499,Monthly,1587.2,1587.2,0.0,0.0,False,COMPLIANT
SEC-0059,LN-001632,Clo,277610.79,0.0558,Monthly,1290.89,1290.89,0.0,0.0,True,COMPLIANT
SEC-0060,LN-001496,Clo,329223.28,0.0417,Monthly,1144.05,1144.05,0.0,0.0,False,COMPLIANT
SEC-0061,LN-001137,Clo,263171.43,0.0589,Monthly,1291.73,1291.73,0.0,0.0,False,COMPLIANT
SEC-0062,LN-001854,Cmo,496018.53,0.0482,Quarterly,5977.02,5977.02,0.0,0.0,False,COMPLIANT
SEC-0063,LN-001521,Mbs,36764.55,0.0469,Quarterly,431.06,431.06,0.0,0.0,False,COMPLIANT
SEC-0064,LN-002490,Mbs,250611.96,0.0678,Quarterly,4247.87,4247.87,0.0,0.0,False,COMPLIANT
SEC-0065,LN-000564,Clo,54794.11,0.0275,Quarterly,376.71,376.71,0.0,0.0,False,COMPLIANT
SEC-0066,LN-001292,Abs,88294.93,0.0691,Monthly,508.43,508.43,0.0,0.0,False,COMPLIANT
SEC-0067,LN-001637,Abs,197688.79,0.0676,Monthly,1113.65,1113.65,0.0,0.0,False,COMPLIANT
SEC-0068,LN-000699,Mbs,86214.64,0.0503,Quarterly,1084.15,1084.15,0.0,0.0,False,COMPLIANT
SEC-0069,LN-002161,Mbs,482206.71,0.0495,Semi-Annual,11934.62,11934.62,0.0,0.0,True,COMPLIANT
SEC-0070,LN-000002,Clo,473926.99,0.0431,Monthly,1702.19,1702.19,0.0,0.0,False,COMPLIANT
SEC-0071,LN-000642,Mbs,174693.73,0.0747,Monthly,1087.47,1087.47,0.0,0.0,True,COMPLIANT
SEC-0072,LN-002268,Abs,323476.38,0.0306,Monthly,824.86,824.86,0.0,0.0,True,COMPLIANT
SEC-0073,LN-001590,Abs,271539.13,0.0545,Quarterly,3699.72,3699.72,0.0,0.0,False,COMPLIANT
SEC-0074,LN-000855,Mbs,409637.62,0.0591,Quarterly,6052.4,6052.4,0.0,0.0,False,COMPLIANT
SEC-0075,LN-001760,Clo,317448.35,0.0717,Monthly,1896.75,1896.75,0.0,0.0,False,COMPLIANT
SEC-0076,LN-002433,Clo,10123.7,0.064,Quarterly,161.98,161.98,0.0,0.0,False,COMPLIANT
SEC-0077,LN-001662,Abs,383955.45,0.0572,Monthly,1830.19,1830.19,0.0,0.0,True,COMPLIANT
SEC-0078,LN-001154,Clo,375955.58,0.0308,Monthly,964.95,964.95,0.0,0.0,False,COMPLIANT
SEC-0079,LN-001077,Abs,259764.13,0.0437,Semi-Annual,5675.85,5675.85,0.0,0.0,True,COMPLIANT
SEC-0080,LN-001708,Mbs,452430.3,0.0319,Monthly,1202.71,1202.71,0.0,0.0,True,COMPLIANT
SEC-0081,LN-001696,Abs,455138.64,0.0691,Monthly,2620.84,2620.84,0.0,0.0,False,COMPLIANT
SEC-0082,LN-001734,Mbs,266716.72,0.0625,Semi-Annual,8334.9,8334.9,0.0,0.0,False,COMPLIANT
SEC-0083,LN-001440,Clo,307914.23,0.0629,Semi-Annual,9683.9,9683.9,0.0,0.0,True,COMPLIANT
SEC-0084,LN-002295,Cmo,498295.82,0.0576,Quarterly,7175.46,7175.46,0.0,0.0,False,COMPLIANT
SEC-0085,LN-000836,Cmo,156421.92,0.0504,Monthly,656.97,656.97,0.0,0.0,False,COMPLIANT
SEC-0086,LN-000203,Cmo,169062.45,0.0325,Monthly,457.88,457.88,0.0,0.0,True,COMPLIANT
SEC-0087,LN-000123,Abs,99559.21,0.0415,Semi-Annual,2065.85,2065.85,0.0,0.0,True,COMPLIANT
SEC-0088,LN-000401,Cmo,448974.8,0.0318,Quarterly,3569.35,3569.35,0.0,0.0,False,COMPLIANT
SEC-0089,LN-000767,Abs,374799.31,0.0612,Semi-Annual,11468.86,11468.86,0.0,0.0,True,COMPLIANT
SEC-0090,LN-000294,Clo,61765.0,0.033,Monthly,169.85,169.85,0.0,0.0,False,COMPLIANT
SEC-0091,LN-002328,Mbs,491066.0,0.0601,Monthly,2459.42,2459.42,0.0,0.0,False,COMPLIANT
SEC-0092,LN-000198,Cmo,368171.24,0.0596,Semi-Annual,10971.5,11339.01,367.5100000000002,0.033497,False,NON-COMPLIANT
SEC-0093,LN-001931,Abs,426755.83,0.048,Quarterly,5121.07,5121.07,0.0,0.0,False,COMPLIANT
SEC-0094,LN-002192,Clo,33593.89,0.0318,Monthly,89.02,89.02,0.0,0.0,False,COMPLIANT
SEC-0095,LN-000609,Clo,257430.85,0.0407,Monthly,873.12,873.12,0.0,0.0,True,COMPLIANT
SEC-0096,LN-001148,Cmo,352313.16,0.041,Monthly,1203.74,1203.74,0.0,0.0,False,COMPLIANT
SEC-0097,LN-000187,Clo,276043.83,0.06,Monthly,1380.22,1380.22,0.0,0.0,False,COMPLIANT
SEC-0098,LN-001795,Clo,336657.26,0.0307,Monthly,861.28,861.28,0.0,0.0,True,COMPLIANT
SEC-0099,LN-000660,Clo,410758.29,0.0665,Monthly,2276.29,2276.29,0.0,0.0,False,COMPLIANT
SEC-0100,LN-001956,Abs,193425.16,0.0631,Quarterly,3051.28,3051.28,0.0,0.0,True,COMPLIANT
SEC-0001,LN-002451,Clo,425847.65,0.0343,Monthly,1217.21,1217.21,0.0,0.0,True,COMPLIANT
SEC-0002,LN-001370,Clo,89828.89,0.061,Semi-Annual,2739.78,2739.78,0.0,0.0,False,COMPLIANT
SEC-0003,LN-001987,Clo,142734.17,0.0584,Monthly,694.64,694.64,0.0,0.0,False,COMPLIANT
SEC-0004,LN-001535,Clo,31239.35,0.0624,Quarterly,487.33,487.33,0.0,0.0,False,COMPLIANT
SEC-0005,LN-000147,Clo,188569.14,0.0344,Monthly,540.56,540.56,0.0,0.0,True,COMPLIANT
SEC-0006,LN-001735,Abs,196155.68,0.0329,Quarterly,1613.38,1613.38,0.0,0.0,False,COMPLIANT
SEC-0007,LN-001844,Clo,404582.59,0.0368,Semi-Annual,7444.32,7444.32,0.0,0.0,True,COMPLIANT
SEC-0008,LN-000489,Clo,330034.03,0.0433,Semi-Annual,7145.24,7145.24,0.0,0.0,False,COMPLIANT
SEC-0009,LN-001960,Mbs,223994.05,0.0647,Quarterly,3623.1,3623.1,0.0,0.0,False,COMPLIANT
SEC-0010,LN-001664,Clo,329535.85,0.0619,Monthly,1699.86,1699.86,0.0,0.0,False,COMPLIANT
SEC-0011,LN-002386,Clo,35863.84,0.0713,Semi-Annual,1278.55,1278.55,0.0,0.0,False,COMPLIANT
SEC-0012,LN-000641,Abs,98333.05,0.0279,Semi-Annual,1371.75,1371.75,0.0,0.0,False,COMPLIANT
SEC-0013,LN-001803,Clo,317204.45,0.0256,Semi-Annual,4060.22,4060.22,0.0,0.0,False,COMPLIANT
SEC-0014,LN-001970,Abs,324269.74,0.06,Monthly,1621.35,1621.35,0.0,0.0,False,COMPLIANT
SEC-0015,LN-002199,Cmo,389325.98,0.039,Semi-Annual,7591.86,7591.86,0.0,0.0,False,COMPLIANT
SEC-0016,LN-001439,Clo,207469.88,0.0417,Monthly,720.96,720.96,0.0,0.0,False,COMPLIANT
SEC-0017,LN-001635,Mbs,364051.51,0.0523,Monthly,1586.66,1586.66,0.0,0.0,False,COMPLIANT
SEC-0018,LN-000263,Abs,345150.36,0.0301,Monthly,865.75,865.75,0.0,0.0,False,COMPLIANT
SEC-0019,LN-001788,Cmo,482062.76,0.0571,Monthly,2293.82,2293.82,0.0,0.0,True,COMPLIANT
SEC-0020,LN-002192,Mbs,115413.81,0.0413,Quarterly,1191.65,1191.65,0.0,0.0,True,COMPLIANT
SEC-0021,LN-002394,Abs,280322.99,0.0566,Semi-Annual,7933.14,7933.14,0.0,0.0,False,COMPLIANT
SEC-0022,LN-000624,Cmo,304864.58,0.0667,Quarterly,5083.62,5083.62,0.0,0.0,False,COMPLIANT
SEC-0023,LN-001017,Mbs,499337.46,0.0336,Quarterly,4194.43,4194.43,0.0,0.0,False,COMPLIANT
SEC-0024,LN-000881,Clo,108580.23,0.0715,Quarterly,1940.87,1940.87,0.0,0.0,False,COMPLIANT
SEC-0025,LN-002050,Mbs,266376.83,0.0515,Quarterly,3429.6,3429.6,0.0,0.0,False,COMPLIANT
SEC-0026,LN-001328,Mbs,179630.8,0.0711,Monthly,1064.31,1064.31,0.0,0.0,False,COMPLIANT
SEC-0027,LN-002302,Mbs,267687.55,0.0354,Semi-Annual,4738.07,4738.07,0.0,0.0,False,COMPLIANT
