error_type,record_id,severity
NON_BUSINESS_DAY,LN-000189,Low
NON_BUSINESS_DAY,LN-000193,Low
NON_BUSINESS_DAY,LN-000195,Low
NON_BUSINESS_DAY,LN-000197,Low
NON_BUSINESS_DAY,LN-000199,Low
NON_BUSINESS_DAY,LN-000201,Low
NON_BUSINESS_DAY,LN-000202,Low
NON_BUSINESS_DAY,LN-000205,Low
NON_BUSINESS_DAY,LN-000212,Low
NON_BUSINESS_DAY,LN-000213,Low
NON_BUSINESS_DAY,LN-000216,Low
NON_BUSINESS_DAY,LN-000218,Low
NON_BUSINESS_DAY,LN-000220,Low
NON_BUSINESS_DAY,LN-000225,Low
NON_BUSINESS_DAY,LN-000228,Low
NON_BUSINESS_DAY,LN-000229,Low
NON_BUSINESS_DAY,LN-000231,Low
NON_BUSINESS_DAY,LN-000233,Low
NON_BUSINESS_DAY,LN-000238,Low
NON_BUSINESS_DAY,LN-000239,Low
NON_BUSINESS_DAY,LN-000248,Low
NON_BUSINESS_DAY,LN-000249,Low
NON_BUSINESS_DAY,LN-000256,Low
NON_BUSINESS_DAY,LN-000257,Low
NON_BUSINESS_DAY,LN-000261,Low
NON_BUSINESS_DAY,LN-000262,Low
NON_BUSINESS_DAY,LN-000264,Low
NON_BUSINESS_DAY,LN-000266,Low
NON_BUSINESS_DAY,LN-000267,Low
NON_BUSINESS_DAY,LN-000272,Low
NON_BUSINESS_DAY,LN-000273,Low
NON_BUSINESS_DAY,LN-000275,Low
NON_BUSINESS_DAY,LN-000277,Low
NON_BUSINESS_DAY,LN-000282,Low
NON_BUSINESS_DAY,LN-000285,Low
NON_BUSINESS_DAY,LN-000286,Low
NON_BUSINESS_DAY,LN-000290,Low
NON_BUSINESS_DAY,LN-000293,Low
NON_BUSINESS_DAY,LN-000296,Low
NON_BUSINESS_DAY,LN-000300,Low
NON_BUSINESS_DAY,LN-000302,Low
NON_BUSINESS_DAY,LN-000305,Low
NON_BUSINESS_DAY,LN-000310,Low
NON_BUSINESS_DAY,LN-000315,Low
NON_BUSINESS_DAY,LN-000316,Low
NON_BUSINESS_DAY,LN-000321,Low
NON_BUSINESS_DAY,LN-000325,Low
NON_BUSINESS_DAY,LN-000328,Low
NON_BUSINESS_DAY,LN-000329,Low
NON_BUSINESS_DAY,LN-000332,Low
NON_BUSINESS_DAY,LN-000336,Low
NON_BUSINESS_DAY,LN-000340,Low
NON_BUSINESS_DAY,LN-000347,Low
NON_BUSINESS_DAY,LN-000350,Low
NON_BUSINESS_DAY,LN-000351,Low
NON_BUSINESS_DAY,LN-000352,Low
NON_BUSINESS_DAY,LN-000360,Low
NON_BUSINESS_DAY,LN-000361,Low
NON_BUSINESS_DAY,LN-000364,Low
NON_BUSINESS_DAY,LN-000369,Low
NON_BUSINESS_DAY,LN-000374,Low
NON_BUSINESS_DAY,LN-000378,Low
NON_BUSINESS_DAY,LN-000380,Low
NON_BUSINESS_DAY,LN-000383,Low
NON_BUSINESS_DAY,LN-000386,Low
NON_BUSINESS_DAY,LN-000404,Low
NON_BUSINESS_DAY,LN-000406,Low
NON_BUSINESS_DAY,LN-000408,Low
NON_BUSINESS_DAY,LN-000418,Low
NON_BUSINESS_DAY,LN-000419,Low
NON_BUSINESS_DAY,LN-000420,Low
NON_BUSINESS_DAY,LN-000421,Low
NON_BUSINESS_DAY,LN-000424,Low
NON_BUSINESS_DAY,LN-000429,Low
NON_BUSINESS_DAY,LN-000430,Low
NON_BUSINESS_DAY,LN-000432,Low
NON_BUSINESS_DAY,LN-000438,Low
NON_BUSINESS_DAY,LN-000444,Low
NON_BUSINESS_DAY,LN-000448,Low
NON_BUSINESS_DAY,LN-000451,Low
NON_BUSINESS_DAY,LN-000462,Low
NON_BUSINESS_DAY,LN-000464,Low
NON_BUSINESS_DAY,LN-000465,Low
NON_BUSINESS_DAY,LN-000466,Low
NON_BUSINESS_DAY,LN-000468,Low
NON_BUSINESS_DAY,LN-000476,Low
NON_BUSINESS_DAY,LN-000484,Low
NON_BUSINESS_DAY,LN-000485,Low
NON_BUSINESS_DAY,LN-000486,Low
NON_BUSINESS_DAY,LN-000487,Low
NON_BUSINESS_DAY,LN-000489,Low
NON_BUSINESS_DAY,LN-000493,Low
NON_BUSINESS_DAY,LN-000494,Low
NON_BUSINESS_DAY,LN-000496,Low
NON_BUSINESS_DAY,LN-000497,Low
NON_BUSINESS_DAY,LN-000498,Low
NON_BUSINESS_DAY,LN-000500,Low
NON_BUSINESS_DAY,LN-000501,Low
NON_BUSINESS_DAY,LN-000508,Low
NON_BUSINESS_DAY,LN-000511,Low
NON_BUSINESS_DAY,LN-000514,Low
NON_BUSINESS_DAY,LN-000515,Low
NON_BUSINESS_DAY,LN-000518,Low
NON_BUSINESS_DAY,LN-000521,Low
NON_BUSINESS_DAY,LN-000522,Low
NON_BUSINESS_DAY,LN-000524,Low
NON_BUSINESS_DAY,LN-000525,Low
NON_BUSINESS_DAY,LN-000529,Low
NON_BUSINESS_DAY,LN-000531,Low
NON_BUSINESS_DAY,LN-000535,Low
NON_BUSINESS_DAY,LN-000537,Low
NON_BUSINESS_DAY,LN-000547,Low
NON_BUSINESS_DAY,LN-000553,Low
NON_BUSINESS_DAY,LN-000555,Low
NON_BUSINESS_DAY,LN-000557,Low
NON_BUSINESS_DAY,LN-000558,Low
NON_BUSINESS_DAY,LN-000559,Low
NON_BUSINESS_DAY,LN-000564,Low
NON_BUSINESS_DAY,LN-000567,Low
NON_BUSINESS_DAY,LN-000575,Low
NON_BUSINESS_DAY,LN-000576,Low
NON_BUSINESS_DAY,LN-000584,Low
NON_BUSINESS_DAY,LN-000585,Low
NON_BUSINESS_DAY,LN-000597,Low
NON_BUSINESS_DAY,LN-000598,Low
NON_BUSINESS_DAY,LN-000599,Low
NON_BUSINESS_DAY,LN-000600,Low
NON_BUSINESS_DAY,LN-000602,Low
NON_BUSINESS_DAY,LN-000603,Low
NON_BUSINESS_DAY,LN-000604,Low
NON_BUSINESS_DAY,LN-000611,Low
NON_BUSINESS_DAY,LN-000612,Low
NON_BUSINESS_DAY,LN-000618,Low
NON_BUSINESS_DAY,LN-000619,Low
NON_BUSINESS_DAY,LN-000628,Low
NON_BUSINESS_DAY,LN-000632,Low
NON_BUSINESS_DAY,LN-000633,Low
NON_BUSINESS_DAY,LN-000639,Low
NON_BUSINESS_DAY,LN-000641,Low
NON_BUSINESS_DAY,LN-000642,Low
NON_BUSINESS_DAY,LN-000646,Low
NON_BUSINESS_DAY,LN-000647,Low
NON_BUSINESS_DAY,LN-000650,Low
NON_BUSINESS_DAY,LN-000656,Low
NON_BUSINESS_DAY,LN-000657,Low
NON_BUSINESS_DAY,LN-000659,Low
NON_BUSINESS_DAY,LN-000661,Low
NON_BUSINESS_DAY,LN-000665,Low
NON_BUSINESS_DAY,LN-000667,Low
NON_BUSINESS_DAY,LN-000669,Low
NON_BUSINESS_DAY,LN-000670,Low
NON_BUSINESS_DAY,LN-000672,Low
NON_BUSINESS_DAY,LN-000678,Low
NON_BUSINESS_DAY,LN-000688,Low
NON_BUSINESS_DAY,LN-000689,Low
NON_BUSINESS_DAY,LN-000691,Low
NON_BUSINESS_DAY,LN-000695,Low
NON_BUSINESS_DAY,LN-000701,Low
NON_BUSINESS_DAY,LN-000702,Low
NON_BUSINESS_DAY,LN-000705,Low
NON_BUSINESS_DAY,LN-000709,Low
NON_BUSINESS_DAY,LN-000712,Low
NON_BUSINESS_DAY,LN-000713,Low
NON_BUSINESS_DAY,LN-000719,Low
NON_BUSINESS_DAY,LN-000723,Low
NON_BUSINESS_DAY,LN-000738,Low
NON_BUSINESS_DAY,LN-000741,Low
NON_BUSINESS_DAY,LN-000742,Low
NON_BUSINESS_DAY,LN-000746,Low
NON_BUSINESS_DAY,LN-000748,Low
NON_BUSINESS_DAY,LN-000752,Low
NON_BUSINESS_DAY,LN-000753,Low
NON_BUSINESS_DAY,LN-000754,Low
NON_BUSINESS_DAY,LN-000755,Low
NON_BUSINESS_DAY,LN-000758,Low
NON_BUSINESS_DAY,LN-000759,Low
NON_BUSINESS_DAY,LN-000760,Low
NON_BUSINESS_DAY,LN-000768,Low
NON_BUSINESS_DAY,LN-000771,Low
NON_BUSINESS_DAY,LN-000780,Low
NON_BUSINESS_DAY,LN-000781,Low
NON_BUSINESS_DAY,LN-000785,Low
NON_BUSINESS_DAY,LN-000789,Low
NON_BUSINESS_DAY,LN-000790,Low
NON_BUSINESS_DAY,LN-000791,Low
NON_BUSINESS_DAY,LN-000792,Low
NON_BUSINESS_DAY,LN-000804,Low
NON_BUSINESS_DAY,LN-000807,Low
NON_BUSINESS_DAY,LN-000810,Low
NON_BUSINESS_DAY,LN-000813,Low
NON_BUSINESS_DAY,LN-000829,Low
NON_BUSINESS_DAY,LN-000830,Low
NON_BUSINESS_DAY,LN-000841,Low
NON_BUSINESS_DAY,LN-000846,Low
NON_BUSINESS_DAY,LN-000854,Low
NON_BUSINESS_DAY,LN-000855,Low
NON_BUSINESS_DAY,LN-000858,Low
NON_BUSINESS_DAY,LN-000861,Low
NON_BUSINESS_DAY,LN-000872,Low
NON_BUSINESS_DAY,LN-000873,Low
NON_BUSINESS_DAY,LN-000874,Low
NON_BUSINESS_DAY,LN-000875,Low
NON_BUSINESS_DAY,LN-000878,Low
NON_BUSINESS_DAY,LN-000884,Low
NON_BUSINESS_DAY,LN-000885,Low
NON_BUSINESS_DAY,LN-000887,Low
NON_BUSINESS_DAY,LN-000890,Low
NON_BUSINESS_DAY,LN-000893,Low
NON_BUSINESS_DAY,LN-000894,Low
NON_BUSINESS_DAY,LN-000899,Low
NON_BUSINESS_DAY,LN-000903,Low
NON_BUSINESS_DAY,LN-000904,Low
NON_BUSINESS_DAY,LN-000905,Low
NON_BUSINESS_DAY,LN-000907,Low
NON_BUSINESS_DAY,LN-000908,Low
NON_BUSINESS_DAY,LN-000909,Low
NON_BUSINESS_DAY,LN-000914,Low
NON_BUSINESS_DAY,LN-000915,Low
NON_BUSINESS_DAY,LN-000923,Low
NON_BUSINESS_DAY,LN-000924,Low
NON_BUSINESS_DAY,LN-000935,Low
NON_BUSINESS_DAY,LN-000936,Low
NON_BUSINESS_DAY,LN-000937,Low
NON_BUSINESS_DAY,LN-000939,Low
NON_BUSINESS_DAY,LN-000941,Low
NON_BUSINESS_DAY,LN-000942,Low
NON_BUSINESS_DAY,LN-000943,Low
NON_BUSINESS_DAY,LN-000944,Low
NON_BUSINESS_DAY,LN-000946,Low
NON_BUSINESS_DAY,LN-000948,Low
NON_BUSINESS_DAY,LN-000950,Low
NON_BUSINESS_DAY,LN-000952,Low
NON_BUSINESS_DAY,LN-000957,Low
NON_BUSINESS_DAY,LN-000964,Low
NON_BUSINESS_DAY,LN-000965,Low
NON_BUSINESS_DAY,LN-000969,Low
NON_BUSINESS_DAY,LN-000977,Low
NON_BUSINESS_DAY,LN-000986,Low
NON_BUSINESS_DAY,LN-000990,Low
NON_BUSINESS_DAY,LN-000991,Low
NON_BUSINESS_DAY,LN-000992,Low
NON_BUSINESS_DAY,LN-000993,Low
NON_BUSINESS_DAY,LN-000996,Low
NON_BUSINESS_DAY,LN-000997,Low
NON_BUSINESS_DAY,LN-000999,Low
NON_BUSINESS_DAY,LN-001006,Low
NON_BUSINESS_DAY,LN-001007,Low
NON_BUSINESS_DAY,LN-001009,Low
NON_BUSINESS_DAY,LN-001013,Low
NON_BUSINESS_DAY,LN-001014,Low
NON_BUSINESS_DAY,LN-001015,Low
NON_BUSINESS_DAY,LN-001016,Low
NON_BUSINESS_DAY,LN-001018,Low
NON_BUSINESS_DAY,LN-001019,Low
NON_BUSINESS_DAY,LN-001024,Low
NON_BUSINESS_DAY,LN-001025,Low
NON_BUSINESS_DAY,LN-001031,Low
NON_BUSINESS_DAY,LN-001037,Low
NON_BUSINESS_DAY,LN-001040,Low
NON_BUSINESS_DAY,LN-001042,Low
NON_BUSINESS_DAY,LN-001050,Low
NON_BUSINESS_DAY,LN-001059,Low
NON_BUSINESS_DAY,LN-001061,Low
NON_BUSINESS_DAY,LN-001064,Low
NON_BUSINESS_DAY,LN-001065,Low
NON_BUSINESS_DAY,LN-001067,Low
NON_BUSINESS_DAY,LN-001068,Low
NON_BUSINESS_DAY,LN-001071,Low
NON_BUSINESS_DAY,LN-001073,Low
NON_BUSINESS_DAY,LN-001075,Low
NON_BUSINESS_DAY,LN-001081,Low
NON_BUSINESS_DAY,LN-001082,Low
NON_BUSINESS_DAY,LN-001085,Low
NON_BUSINESS_DAY,LN-001087,Low
NON_BUSINESS_DAY,LN-001097,Low
NON_BUSINESS_DAY,LN-001099,Low
NON_BUSINESS_DAY,LN-001100,Low
NON_BUSINESS_DAY,LN-001101,Low
NON_BUSINESS_DAY,LN-001104,Low
NON_BUSINESS_DAY,LN-001105,Low
NON_BUSINESS_DAY,LN-001112,Low
NON_BUSINESS_DAY,LN-001121,Low
NON_BUSINESS_DAY,LN-001124,Low
NON_BUSINESS_DAY,LN-001127,Low
NON_BUSINESS_DAY,LN-001129,Low
NON_BUSINESS_DAY,LN-001134,Low
NON_BUSINESS_DAY,LN-001137,Low
NON_BUSINESS_DAY,LN-001139,Low
NON_BUSINESS_DAY,LN-001140,Low
NON_BUSINESS_DAY,LN-001141,Low
NON_BUSINESS_DAY,LN-001143,Low
NON_BUSINESS_DAY,LN-001145,Low
NON_BUSINESS_DAY,LN-001150,Low
NON_BUSINESS_DAY,LN-001156,Low
NON_BUSINESS_DAY,LN-001157,Low
NON_BUSINESS_DAY,LN-001163,Low
NON_BUSINESS_DAY,LN-001164,Low
NON_BUSINESS_DAY,LN-001166,Low
NON_BUSINESS_DAY,LN-001167,Low
NON_BUSINESS_DAY,LN-001168,Low
NON_BUSINESS_DAY,LN-001169,Low
NON_BUSINESS_DAY,LN-001170,Low
NON_BUSINESS_DAY,LN-001171,Low
NON_BUSINESS_DAY,LN-001175,Low
NON_BUSINESS_DAY,LN-001178,Low
NON_BUSINESS_DAY,LN-001179,Low
NON_BUSINESS_DAY,LN-001181,Low
NON_BUSINESS_DAY,LN-001182,Low
NON_BUSINESS_DAY,LN-001183,Low
NON_BUSINESS_DAY,LN-001184,Low
NON_BUSINESS_DAY,LN-001186,Low
NON_BUSINESS_DAY,LN-001190,Low
NON_BUSINESS_DAY,LN-001201,Low
NON_BUSINESS_DAY,LN-001204,Low
NON_BUSINESS_DAY,LN-001206,Low
NON_BUSINESS_DAY,LN-001208,Low
NON_BUSINESS_DAY,LN-001213,Low
NON_BUSINESS_DAY,LN-001214,Low
NON_BUSINESS_DAY,LN-001215,Low
NON_BUSINESS_DAY,LN-001216,Low
NON_BUSINESS_DAY,LN-001217,Low
NON_BUSINESS_DAY,LN-001218,Low
NON_BUSINESS_DAY,LN-001222,Low
NON_BUSINESS_DAY,LN-001227,Low
NON_BUSINESS_DAY,LN-001230,Low
NON_BUSINESS_DAY,LN-001233,Low
NON_BUSINESS_DAY,LN-001235,Low
NON_BUSINESS_DAY,LN-001241,Low
NON_BUSINESS_DAY,LN-001244,Low
NON_BUSINESS_DAY,LN-001264,Low
NON_BUSINESS_DAY,LN-001265,Low
NON_BUSINESS_DAY,LN-001271,Low
NON_BUSINESS_DAY,LN-001275,Low
NON_BUSINESS_DAY,LN-001279,Low
NON_BUSINESS_DAY,LN-001281,Low
NON_BUSINESS_DAY,LN-001286,Low
NON_BUSINESS_DAY,LN-001287,Low
NON_BUSINESS_DAY,LN-001288,Low
NON_BUSINESS_DAY,LN-001290,Low
NON_BUSINESS_DAY,LN-001293,Low
NON_BUSINESS_DAY,LN-001295,Low
NON_BUSINESS_DAY,LN-001298,Low
NON_BUSINESS_DAY,LN-001300,Low
NON_BUSINESS_DAY,LN-001304,Low
NON_BUSINESS_DAY,LN-001306,Low
NON_BUSINESS_DAY,LN-001312,Low
