error_id,error_type,dataset,record_id,description
101,COUPON_OUTLIER,collateral_schedule,SEC-0052,Coupon payment for SEC-0052 deviates >2% from expected
102,COUPON_OUTLIER,collateral_schedule,SEC-0028,Coupon payment for SEC-0028 deviates >2% from expected
103,COUPON_OUTLIER,collateral_schedule,SEC-0089,Coupon payment for SEC-0089 deviates >2% from expected
104,COUPON_OUTLIER,collateral_schedule,SEC-0033,Coupon payment for SEC-0033 deviates >2% from expected
105,COUPON_OUTLIER,collateral_schedule,SEC-0018,Coupon payment for SEC-0018 deviates >2% from expected
106,COUPON_OUTLIER,collateral_schedule,SEC-0070,Coupon payment for SEC-0070 deviates >2% from expected
107,COUPON_OUTLIER,collateral_schedule,SEC-0092,Coupon payment for SEC-0092 deviates >2% from expected
108,COUPON_OUTLIER,collateral_schedule,SEC-0090,Coupon payment for SEC-0090 deviates >2% from expected
109,COUPON_OUTLIER,collateral_schedule,SEC-0044,Coupon payment for SEC-0044 deviates >2% from expected
110,COUPON_OUTLIER,collateral_schedule,SEC-0092,Coupon payment for SEC-0092 deviates >2% from expected
111,COUPON_OUTLIER,collateral_schedule,SEC-0037,Coupon payment for SEC-0037 deviates >2% from expected
112,COUPON_OUTLIER,collateral_schedule,SEC-0057,Coupon payment for SEC-0057 deviates >2% from expected
113,COUPON_OUTLIER,collateral_schedule,SEC-0057,Coupon payment for SEC-0057 deviates >2% from expected
114,COUPON_OUTLIER,collateral_schedule,SEC-0069,Coupon payment for SEC-0069 deviates >2% from expected
115,COUPON_OUTLIER,collateral_schedule,SEC-0067,Coupon payment for SEC-0067 deviates >2% from expected
116,COUPON_OUTLIER,collateral_schedule,SEC-0061,Coupon payment for SEC-0061 deviates >2% from expected
117,COUPON_OUTLIER,collateral_schedule,SEC-0039,Coupon payment for SEC-0039 deviates >2% from expected
118,COUPON_OUTLIER,collateral_schedule,SEC-0093,Coupon payment for SEC-0093 deviates >2% from expected
119,COUPON_OUTLIER,collateral_schedule,SEC-0022,Coupon payment for SEC-0022 deviates >2% from expected
120,COUPON_OUTLIER,collateral_schedule,SEC-0034,Coupon payment for SEC-0034 deviates >2% from expected
121,COUPON_OUTLIER,collateral_schedule,SEC-0098,Coupon payment for SEC-0098 deviates >2% from expected
122,COUPON_OUTLIER,collateral_schedule,SEC-0012,Coupon payment for SEC-0012 deviates >2% from expected
123,COUPON_OUTLIER,collateral_schedule,SEC-0017,Coupon payment for SEC-0017 deviates >2% from expected
124,COUPON_OUTLIER,collateral_schedule,SEC-0090,Coupon payment for SEC-0090 deviates >2% from expected
125,COUPON_OUTLIER,collateral_schedule,SEC-0064,Coupon payment for SEC-0064 deviates >2% from expected
126,COUPON_OUTLIER,collateral_schedule,SEC-0048,Coupon payment for SEC-0048 deviates >2% from expected
127,COUPON_OUTLIER,collateral_schedule,SEC-0050,Coupon payment for SEC-0050 deviates >2% from expected
128,COUPON_OUTLIER,collateral_schedule,SEC-0069,Coupon payment for SEC-0069 deviates >2% from expected
129,COUPON_OUTLIER,collateral_schedule,SEC-0011,Coupon payment for SEC-0011 deviates >2% from expected
130,COUPON_OUTLIER,collateral_schedule,SEC-0014,Coupon payment for SEC-0014 deviates >2% from expected
131,NON_BUSINESS_DAY,loan_payments,LN-000118,Payment LN-000118 posted on non-business day 2025-08-02
132,NON_BUSINESS_DAY,loan_payments,LN-000074,Payment LN-000074 posted on non-business day 2026-02-07
133,NON_BUSINESS_DAY,loan_payments,LN-000106,Payment LN-000106 posted on non-business day 2025-08-02
134,NON_BUSINESS_DAY,loan_payments,LN-000096,Payment LN-000096 posted on non-business day 2026-03-07
135,NON_BUSINESS_DAY,loan_payments,LN-000041,Payment LN-000041 posted on non-business day 2025-05-10
136,NON_BUSINESS_DAY,loan_payments,LN-000091,Payment LN-000091 posted on non-business day 2025-06-07
137,NON_BUSINESS_DAY,loan_payments,LN-000122,Payment LN-000122 posted on non-business day 2025-12-20
138,NON_BUSINESS_DAY,loan_payments,LN-000039,Payment LN-000039 posted on non-business day 2025-07-05
139,NON_BUSINESS_DAY,loan_payments,LN-000055,Payment LN-000055 posted on non-business day 2025-12-27
140,NON_BUSINESS_DAY,loan_payments,LN-000010,Payment LN-000010 posted on non-business day 2025-12-20
141,NON_BUSINESS_DAY,loan_payments,LN-000037,Payment LN-000037 posted on non-business day 2025-08-09
142,NON_BUSINESS_DAY,loan_payments,LN-000024,Payment LN-000024 posted on non-business day 2026-02-14
143,NON_BUSINESS_DAY,loan_payments,LN-000031,Payment LN-000031 posted on non-business day 2025-08-09
144,NON_BUSINESS_DAY,loan_payments,LN-000092,Payment LN-000092 posted on non-business day 2025-11-08
145,NON_BUSINESS_DAY,loan_payments,LN-000095,Payment LN-000095 posted on non-business day 2026-02-07
146,NON_BUSINESS_DAY,loan_payments,LN-000035,Payment LN-000035 posted on non-business day 2025-10-18
147,NON_BUSINESS_DAY,loan_payments,LN-000032,Payment LN-000032 posted on non-business day 2025-03-22
148,NON_BUSINESS_DAY,loan_payments,LN-000009,Payment LN-000009 posted on non-business day 2026-02-28
149,NON_BUSINESS_DAY,loan_payments,LN-000126,Payment LN-000126 posted on non-business day 2026-01-10
150,NON_BUSINESS_DAY,loan_payments,LN-000138,Payment LN-000138 posted on non-business day 2025-06-07
151,NON_BUSINESS_DAY,loan_payments,LN-000056,Payment LN-000056 posted on non-business day 2025-08-16
152,NON_BUSINESS_DAY,loan_payments,LN-000125,Payment LN-000125 posted on non-business day 2025-10-25
153,NON_BUSINESS_DAY,loan_payments,LN-000086,Payment LN-000086 posted on non-business day 2026-01-24
154,NON_BUSINESS_DAY,loan_payments,LN-000050,Payment LN-000050 posted on non-business day 2025-11-08
155,NON_BUSINESS_DAY,loan_payments,LN-000068,Payment LN-000068 posted on non-business day 2025-04-26
156,NON_BUSINESS_DAY,loan_payments,LN-000090,Payment LN-000090 posted on non-business day 2025-07-19
157,NON_BUSINESS_DAY,loan_payments,LN-000109,Payment LN-000109 posted on non-business day 2026-01-03
158,NON_BUSINESS_DAY,loan_payments,LN-000108,Payment LN-000108 posted on non-business day 2025-07-05
159,NON_BUSINESS_DAY,loan_payments,LN-000075,Payment LN-000075 posted on non-business day 2025-09-20
160,NON_BUSINESS_DAY,loan_payments,LN-000006,Payment LN-000006 posted on non-business day 2025-07-12
