remittance_id,loan_id,remittance_date,remittance_amount,servicer_name,wire_reference,trust_account_id,remittance_status
REM-000025,LN-000748,2025-05-21,27405.87,Sanchez and Sons,WIRE-B83372166E7F,TRU-009,Matched
REM-000026,LN-000475,2025-11-11,26621.2,Brown-Armstrong,WIRE-A28DA4952B7C,TRU-010,Matched
REM-000027,LN-001083,2025-12-18,21170.25,Maxwell Inc,WIRE-B69A72D0FC82,TRU-010,Matched
REM-000028,LN-002048,2025-09-24,35537.84,Sharp Ltd,WIRE-288B83B4A153,TRU-002,In-Review
REM-000029,LN-000976,2025-06-05,13482.07,Berg-Williamson,WIRE-0FC9E0A0F32B,TRU-006,In-Review
REM-000030,LN-001807,2025-11-15,33237.85,Aguilar Group,WIRE-3A00A2021D71,TRU-006,Matched
REM-000031,LN-000190,2025-07-19,12471.69,"Marks, Hartman and Rodriguez",WIRE-E74AEDCF0B29,TRU-009,Matched
REM-000032,LN-000563,2026-01-06,7250.39,Brown and Sons,WIRE-6E14C45CA54A,TRU-009,Matched
REM-000033,LN-001900,2025-09-03,0.0,Hardin Inc,WIRE-B153F2BD1F73,TRU-005,Matched
REM-000034,LN-001268,2025-06-04,24256.97,Davis Inc,WIRE-FBBA92482C43,TRU-005,Matched
REM-000035,LN-001529,2026-03-12,40249.78,Hamilton Ltd,WIRE-1315BB069A13,TRU-009,Matched
REM-000036,LN-000647,2025-10-28,29882.83,Clark Ltd,WIRE-CA69D064A3FD,TRU-008,Matched
REM-000037,LN-002069,2026-03-09,6872.02,Hughes Ltd,WIRE-D846FE2B59C3,TRU-007,Matched
REM-000038,LN-002215,2025-08-12,36470.21,"Lee, Roth and Erickson",WIRE-C50D9B6990FD,TRU-008,Matched
REM-000039,LN-001298,2026-03-04,6292.2,Jacobs-Lopez,WIRE-2BB963A2FDE8,TRU-006,Matched
REM-000040,LN-002436,2025-11-26,19779.35,Dennis-Vargas,WIRE-0B6D7D5AC3A6,TRU-003,Unmatched
REM-000041,LN-000601,2026-03-08,11137.66,Ramos PLC,WIRE-91B2C8FC2DB5,TRU-007,Matched
REM-000042,LN-002364,2025-10-17,24557.02,Miller and Sons,WIRE-D4BA9CF61FD4,TRU-008,Matched
REM-000043,LN-002062,2025-09-12,25868.88,Thomas-Weaver,WIRE-A59ADD9A27CC,TRU-008,Matched
REM-000044,LN-000242,2025-08-09,47719.46,Graves Ltd,WIRE-A1948B37EA7D,TRU-001,Matched
REM-000045,LN-002042,2025-03-30,28280.53,Lopez LLC,WIRE-36B6424BBF54,TRU-007,Matched
REM-000046,LN-001364,2026-01-11,31762.23,Martin Ltd,WIRE-5245486BBAB2,TRU-003,Matched
REM-000047,LN-002140,2026-02-09,42979.76,"Phillips, Gutierrez and Davidson",WIRE-068DE961E112,TRU-002,In-Review
REM-000048,LN-001391,2025-11-26,12184.5,Simmons LLC,WIRE-9419EBE4CC7A,TRU-002,Matched
REM-000049,LN-001479,2025-04-17,47563.09,"Allen, Smith and Zamora",WIRE-934C48488AE5,TRU-008,Matched
REM-000050,LN-000776,2026-02-02,7920.91,"King, Webster and Brown",WIRE-C461EABAE6E2,TRU-009,Matched
REM-000051,LN-000035,2025-10-17,48298.79,Snyder Ltd,WIRE-67F2FACC0198,TRU-003,In-Review
REM-000052,LN-002254,2025-11-01,41549.7,Harvey Group,WIRE-1A2E0EF2A770,TRU-003,Unmatched
REM-000053,LN-001956,2025-12-04,55276.85,Craig Ltd,WIRE-760CEDADBBA9,TRU-006,Unmatched
REM-000054,LN-001586,2025-05-09,0.0,Smith-Garner,WIRE-DBF5D493D242,TRU-010,Matched
REM-000055,LN-001022,2025-11-29,15218.78,Flores LLC,WIRE-C8B38B901155,TRU-001,In-Review
REM-000056,LN-001130,2025-07-19,13357.81,"Becker, Gregory and Jones",WIRE-639D70C3215F,TRU-006,Matched
REM-000057,LN-001501,2026-03-05,26194.55,Acosta-Flores,WIRE-CF738038E838,TRU-003,Matched
REM-000058,LN-000703,2025-05-22,17161.91,Harmon-Castillo,WIRE-5A246902BA2A,TRU-004,Unmatched
REM-000059,LN-002450,2026-01-24,17451.17,Evans-Burns,WIRE-6F3113E48034,TRU-009,In-Review
REM-000060,LN-001580,2025-12-02,27561.52,"Duarte, Lee and Matthews",WIRE-24100FAD4026,TRU-003,Matched
REM-000061,LN-000162,2025-11-04,31799.14,Vazquez Group,WIRE-8C6F5A2E038F,TRU-001,Matched
REM-000062,LN-000202,2025-06-10,4664.93,Hobbs-Nguyen,WIRE-AFCA4E70634C,TRU-003,Matched
REM-000063,LN-001982,2025-08-13,40230.84,Ford-Nolan,WIRE-9CA4ED05A3F8,TRU-007,Matched
REM-000064,LN-000996,2026-01-14,5033.31,Hernandez-Rojas,WIRE-FDDCB33432D7,TRU-007,Matched
REM-000065,LN-002318,2025-11-25,20031.52,Barnes-Johnson,WIRE-8991E33B6FCB,TRU-005,In-Review
REM-000066,LN-000816,2025-08-01,26182.48,Kramer Group,WIRE-DC0B0FC18523,TRU-001,Matched
REM-000067,LN-000456,2025-10-11,24884.94,"Hernandez, Diaz and Hamilton",WIRE-5CA4E30BC3F5,TRU-008,Unmatched
REM-000068,LN-001276,2026-03-07,5694.04,"Whitehead, Hernandez and Shah",WIRE-CEAC701CEFE2,TRU-010,Unmatched
REM-000069,LN-001017,2026-03-07,4911.6,Davis Group,WIRE-81FBD2E69BA6,TRU-008,Matched
REM-000070,LN-002344,2025-09-08,19098.01,Hernandez-Rogers,WIRE-26F2ADA14C4B,TRU-010,Unmatched
REM-000071,LN-000338,2025-05-18,39934.41,Crawford and Sons,WIRE-3B3CE50B9D64,TRU-010,Matched
REM-000072,LN-000879,2025-08-02,971.8,Gallegos-Nash,WIRE-F0CDA7FC549E,TRU-010,Matched
REM-000073,LN-001077,2025-08-28,19524.17,Perez-Tucker,WIRE-2260568D32CE,TRU-002,Matched
REM-000074,LN-000792,2025-12-02,29518.38,"Porter, Graham and York",WIRE-B8573470B7C8,TRU-010,Matched
REM-000075,LN-002265,2025-10-24,30550.93,Costa-Brown,WIRE-94932F4AD8A9,TRU-003,Unmatched
REM-000076,LN-000764,2025-05-11,0.0,Jones LLC,WIRE-26EE985F37C0,TRU-004,In-Review
REM-000077,LN-002236,2025-11-14,22821.42,"Woods, Roberts and Young",WIRE-53FB42DE791A,TRU-001,Matched
REM-000078,LN-000380,2025-09-25,14451.81,Lara-Butler,WIRE-AAA924C19FF9,TRU-004,Unmatched
REM-000079,LN-000493,2025-12-05,14230.37,Frye Ltd,WIRE-5341044AAFBF,TRU-005,Matched
REM-000080,LN-001181,2025-05-21,48168.1,Morgan LLC,WIRE-52F3BD5C30FF,TRU-003,Unmatched
REM-000081,LN-002063,2025-12-23,40416.98,"Montgomery, Carr and George",WIRE-FBFF2AB7E072,TRU-010,Matched
REM-000082,LN-000065,2026-02-17,14406.26,"Campbell, Hardy and Roman",WIRE-A5B7D5E5E6D9,TRU-002,Matched
REM-000083,LN-001368,2025-05-11,45497.11,Wood Group,WIRE-0F05F4CCBBEB,TRU-006,Matched
REM-000084,LN-001153,2025-11-01,35024.84,Smith LLC,WIRE-7094687D638F,TRU-008,Matched
REM-000085,LN-002028,2026-01-03,49074.21,Sanchez-Blackburn,WIRE-2ABA210C2D9F,TRU-007,Matched
REM-000086,LN-001496,2025-04-02,33576.53,"Hall, Wiggins and Edwards",WIRE-2521BEF6AB1C,TRU-001,In-Review
REM-000087,LN-001163,2025-06-21,0.0,Buchanan-Peters,WIRE-6A649CDF28E3,TRU-004,Matched
REM-000088,LN-001523,2025-08-12,17905.32,"Leon, Hale and Winters",WIRE-C4BF70B353F0,TRU-003,In-Review
REM-000089,LN-000392,2025-12-27,20924.58,Harrington-Armstrong,WIRE-17332DCD202D,TRU-006,Unmatched
REM-000090,LN-001699,2025-11-06,48174.2,Erickson PLC,WIRE-55DD589245B4,TRU-009,Matched
REM-000091,LN-000419,2025-04-10,33789.66,Li and Sons,WIRE-764894BAF6F7,TRU-009,Matched
REM-000092,LN-002337,2025-11-11,23083.71,Elliott-Zamora,WIRE-A654764FF7B5,TRU-007,Unmatched
REM-000093,LN-000379,2025-07-19,40816.19,Dixon-Davis,WIRE-667792CF1DB1,TRU-009,Matched
REM-000094,LN-001797,2025-11-11,0.0,Hanson Inc,WIRE-44EA6D125CDE,TRU-008,Matched
REM-000095,LN-002279,2025-08-11,31888.15,"Henry, Morrison and Macdonald",WIRE-5E788A4BAA1C,TRU-005,Matched
REM-000096,LN-002089,2025-04-02,41194.11,"Adams, Cole and Waters",WIRE-AE28A7A680DC,TRU-009,Matched
REM-000097,LN-002183,2025-04-02,2142.87,Joseph-Cox,WIRE-F13CFC1B5672,TRU-007,In-Review
REM-000098,LN-000201,2025-12-24,32280.57,Wells and Sons,WIRE-A5F89BD8DEBF,TRU-005,Matched
REM-000099,LN-001864,2025-05-02,27478.83,"Smith, Kelly and Oliver",WIRE-BAB9E23319CA,TRU-008,Matched
REM-000100,LN-000780,2025-08-17,32236.81,"Thomas, Nelson and Flores",WIRE-4B4E130E8FB1,TRU-007,Matched
REM-000101,LN-000503,2025-07-31,15821.62,Jacobs-Herrera,WIRE-C33945B418D4,TRU-009,Unmatched
REM-000102,LN-002455,2025-08-17,29233.15,"Lopez, Bradshaw and Jacobs",WIRE-710EB273C78A,TRU-010,Unmatched
REM-000103,LN-001752,2025-06-06,13298.76,Quinn-Moss,WIRE-C26F1231CB7A,TRU-001,Matched
REM-000104,LN-000805,2025-10-23,21494.47,Mills PLC,WIRE-3497B7EF2021,TRU-009,Matched
REM-000105,LN-002147,2025-12-05,23233.63,Wright-Bennett,WIRE-58AE95A05B70,TRU-007,Matched
REM-000106,LN-001896,2025-12-21,36787.03,"Cardenas, Smith and Green",WIRE-FF6689D626E5,TRU-001,Matched
REM-000107,LN-001571,2026-02-21,29537.12,Phillips Inc,WIRE-89A923C89F6A,TRU-001,Matched
REM-000108,LN-000961,2026-01-27,4598.53,"Schneider, Fisher and Richardson",WIRE-06E62729A30C,TRU-005,In-Review
REM-000109,LN-001486,2025-11-06,18639.85,Griffin Group,WIRE-4325AC8B1FC9,TRU-008,Matched
REM-000110,LN-001029,2025-10-24,16295.47,"Moore, Wallace and Edwards",WIRE-2AAF8926C07B,TRU-009,Matched
REM-000111,LN-000503,2025-07-29,15821.62,Bryant-Gonzalez,WIRE-F8931CA4B78C,TRU-006,Unmatched
REM-000112,LN-000398,2025-05-15,21735.2,"Chavez, Martin and Anderson",WIRE-E82D4D2B2AA4,TRU-010,Matched
REM-000113,LN-000871,2025-12-16,18978.81,Martinez LLC,WIRE-B842D8EE1A7E,TRU-008,Matched
REM-000114,LN-000393,2025-08-16,18914.9,"Woods, Thomas and Decker",WIRE-A0116EC08DE2,TRU-006,Matched
REM-000115,LN-000207,2025-07-06,6704.69,Pierce-Fuller,WIRE-EF2D8121F5EB,TRU-006,Matched
REM-000116,LN-001039,2025-03-28,3735.14,"Nguyen, Thompson and Austin",WIRE-6609EFFC2F9B,TRU-004,In-Review
REM-000117,LN-001882,2025-09-19,0.0,Schneider LLC,WIRE-0633D628C6DA,TRU-005,Matched
REM-000118,LN-001485,2025-05-09,16567.0,"Avila, Williams and Hunt",WIRE-F5C4E3E5ECE3,TRU-002,Matched
REM-000119,LN-000864,2025-07-20,22317.76,"Love, Anderson and Brown",WIRE-2756402E4E0E,TRU-003,Matched
REM-000120,LN-000564,2026-01-23,1219.96,Taylor Inc,WIRE-2F576F87B5F5,TRU-003,In-Review
REM-000121,LN-001021,2025-08-04,35022.3,"Martin, Reeves and Davis",WIRE-133DB0A05198,TRU-005,Matched
REM-000122,LN-000096,2026-03-06,24942.88,Compton-Morgan,WIRE-9262CE32052B,TRU-005,Matched
REM-000123,LN-001924,2025-08-23,18096.9,Cooper-Jones,WIRE-9A056474D741,TRU-006,In-Review
REM-000124,LN-001758,2025-11-11,24648.78,Gardner-Warren,WIRE-6B337414C049,TRU-005,Matched
REM-000125,LN-002279,2025-08-11,31888.15,"Clarke, Neal and Kelley",WIRE-429D82F0A9F2,TRU-006,Unmatched
REM-000126,LN-001679,2025-09-03,9089.46,Olsen Group,WIRE-D221E5818543,TRU-008,Matched
REM-000127,LN-000541,2025-09-01,47725.53,Wilson LLC,WIRE-684902EDE6F7,TRU-002,Matched
REM-000128,LN-001060,2025-08-30,31561.52,Allen Ltd,WIRE-4981C2CBD704,TRU-004,Matched
REM-000129,LN-001184,2025-08-31,46635.39,"Grant, Williams and Cameron",WIRE-F7EBD3A50806,TRU-006,Matched
REM-000130,LN-001723,2025-10-26,15512.12,Mendoza Inc,WIRE-3902ECFC3221,TRU-005,Matched
REM-000131,LN-001820,2026-03-17,19406.01,Blake and Sons,WIRE-729D8C87FC29,TRU-001,Matched
REM-000132,LN-001598,2026-02-27,3171.57,Mason LLC,WIRE-72A00141C457,TRU-009,Matched
REM-000133,LN-000796,2025-10-20,36806.79,Avila-Santiago,WIRE-69AEB8570A20,TRU-003,Matched
REM-000134,LN-001052,2025-10-29,0.0,Dixon LLC,WIRE-9CD8805BCABB,TRU-002,Matched
REM-000135,LN-001644,2025-08-01,31367.49,Johnson-Espinoza,WIRE-B9BD733B07A1,TRU-009,In-Review
REM-000136,LN-001364,2026-01-08,31762.23,Pierce-Williams,WIRE-616B2968947E,TRU-007,Matched
REM-000137,LN-001982,2025-08-09,40230.84,"Johnson, Perez and Henry",WIRE-3BEFDD55EE44,TRU-005,In-Review
REM-000138,LN-001355,2025-03-27,27453.89,Miles-Perkins,WIRE-96B98B967733,TRU-006,Matched
REM-000139,LN-001664,2025-12-14,25099.69,Hicks-Calderon,WIRE-A85B2A950C24,TRU-004,Matched
REM-000140,LN-001530,2025-05-14,27188.48,Lewis-Herrera,WIRE-F7D10CD5AB4C,TRU-001,Matched
REM-000141,LN-002039,2025-11-30,14551.74,"Garner, Campbell and Hawkins",WIRE-3171B62115AB,TRU-004,Unmatched
REM-000142,LN-001497,2025-04-20,31164.77,"Price, Davenport and Webster",WIRE-8DE340F99A93,TRU-009,Unmatched
REM-000143,LN-002238,2025-05-24,9673.84,Cook-Murphy,WIRE-3D72B1F68C87,TRU-001,Matched
REM-000145,LN-001401,2026-03-10,8768.57,Johnson-Morrison,WIRE-665DBF612880,TRU-003,Matched
REM-000146,LN-001307,2026-02-08,35847.3,"Powers, Carrillo and Harris",WIRE-42FA5E90CEBA,TRU-005,Matched
REM-000147,LN-000973,2025-06-16,36762.32,Williams Inc,WIRE-2E3245A3B86E,TRU-007,In-Review
REM-000148,LN-001769,2025-08-28,19106.47,"Fitzpatrick, Harris and Wolf",WIRE-FD1BBD3E1EBF,TRU-009,Unmatched
REM-000149,LN-001283,2025-05-11,0.0,"Burgess, Whitaker and Craig",WIRE-FF4915949B32,TRU-006,In-Review
REM-000150,LN-000710,2026-02-19,34234.38,"Meyers, Ward and Brown",WIRE-D49E46125B7C,TRU-003,Matched
REM-000151,LN-001480,2025-11-16,22061.37,"Hall, Zamora and Bridges",WIRE-28E4DCEA555E,TRU-007,Matched
REM-000152,LN-001435,2025-07-01,7412.74,Dixon LLC,WIRE-DFD123EB8033,TRU-004,Matched
REM-000153,LN-000649,2025-08-08,39563.98,Robinson and Sons,WIRE-6E2C480475CD,TRU-003,Matched
REM-000154,LN-000318,2025-12-17,4560.2,Clark-Arroyo,WIRE-B3465F5BE1A3,TRU-007,Unmatched
REM-000155,LN-001258,2026-02-06,24833.93,Cortez-Ellis,WIRE-82300E080A65,TRU-007,Matched
REM-000156,LN-000684,2025-10-01,33597.84,Guzman-Martin,WIRE-8220EE32D5D6,TRU-004,Matched
REM-000157,LN-000664,2025-04-20,12242.73,Castillo-Carlson,WIRE-C667F2223822,TRU-007,Matched
REM-000158,LN-001999,2025-10-22,3324.21,"Mathews, Wright and Jensen",WIRE-35BAFAB027A3,TRU-002,Matched
REM-000159,LN-001632,2025-08-25,17704.79,Farrell PLC,WIRE-B5F0FD836DB2,TRU-001,Matched
REM-000160,LN-001496,2025-04-03,33576.53,Vincent LLC,WIRE-48C87409A2D4,TRU-002,Matched
REM-000161,LN-001137,2025-12-04,42634.74,Turner Group,WIRE-6BDC53B0B267,TRU-004,Unmatched
REM-000162,LN-001854,2025-05-31,42402.46,"Carroll, Moore and Brown",WIRE-3F58D5E1F49D,TRU-008,Matched
REM-000163,LN-001521,2026-01-18,3483.24,Brewer Group,WIRE-0184ECFDA409,TRU-003,Unmatched
REM-000164,LN-002490,2026-01-27,19078.83,"Walter, Jones and Butler",WIRE-56F5A73AE61A,TRU-010,Matched
REM-000165,LN-000564,2026-01-22,1219.96,Evans Inc,WIRE-B7E79B4D40DC,TRU-006,Matched
REM-000166,LN-001292,2025-03-28,5251.82,Turner LLC,WIRE-83E81EF1ED83,TRU-006,Matched
REM-000167,LN-001637,2025-04-13,20266.14,Conrad-Clay,WIRE-47880C599172,TRU-009,Unmatched
REM-000168,LN-000699,2026-02-28,6516.86,Martinez Ltd,WIRE-CBACC23ED685,TRU-009,Matched
REM-000169,LN-002161,2025-09-21,32731.81,"Farley, Mcguire and Beard",WIRE-4145F46B80F4,TRU-004,Matched
REM-000170,LN-000002,2025-05-15,47560.36,Thompson-Rodriguez,WIRE-4AE760D2E2EF,TRU-009,Matched
REM-000171,LN-000642,2025-12-11,16442.92,"Young, Kane and Riley",WIRE-4708A05B1E3F,TRU-006,Matched
REM-000172,LN-002268,2025-05-21,0.0,"Nelson, Johnson and Hart",WIRE-D23D90D4C144,TRU-002,Unmatched
REM-000173,LN-001590,2025-05-13,0.0,Simon and Sons,WIRE-0EBA5EF1B276,TRU-010,Unmatched
REM-000174,LN-000855,2026-03-16,10654.41,Brown Ltd,WIRE-97221E9FFEFF,TRU-006,Matched
REM-000175,LN-001760,2026-01-05,27623.99,Johnson-Jimenez,WIRE-6EE753348D29,TRU-002,Matched
REM-000176,LN-002433,2026-01-20,49208.65,Gutierrez-Dudley,WIRE-A3CB112C0FB6,TRU-008,Unmatched
REM-000177,LN-001662,2026-01-12,29334.2,"Merritt, Douglas and Chung",WIRE-84B3D98E9EA6,TRU-004,Matched
REM-000178,LN-001154,2025-12-17,34166.97,Mckinney-Higgins,WIRE-B2505D1EFD72,TRU-005,Matched
REM-000179,LN-001077,2025-08-30,19524.17,Pham Inc,WIRE-4CF9C9A8B0A2,TRU-008,Matched
REM-000180,LN-001708,2025-10-14,11193.89,"Nelson, Wiggins and Young",WIRE-4F5847961F4C,TRU-008,Matched
REM-000181,LN-001696,2025-04-05,3874.53,Patrick-Forbes,WIRE-540C4924AEA8,TRU-006,Matched
REM-000182,LN-001734,2025-04-28,21591.13,Russo Group,WIRE-BC8162531596,TRU-004,Unmatched
REM-000183,LN-001440,2025-04-10,33834.91,"Crane, Freeman and Hall",WIRE-56A2CA080E73,TRU-001,Matched
REM-000184,LN-002295,2026-01-14,772.54,"Williams, Cox and George",WIRE-12FB5E8D4262,TRU-007,Matched
REM-000185,LN-000836,2025-07-27,21236.81,Hoover-Stephens,WIRE-2E9FF2D5DAEE,TRU-008,Unmatched
REM-000186,LN-000203,2025-07-30,10955.84,Hopkins-Watson,WIRE-E54E8BC232DF,TRU-009,Matched
REM-000187,LN-000123,2025-07-30,16241.17,"Fernandez, Flores and Fowler",WIRE-C74A024F2AD3,TRU-002,Matched
REM-000188,LN-000401,2025-06-03,3856.26,Thompson-Morales,WIRE-BB173455126A,TRU-001,Matched
REM-000190,LN-000294,2025-10-12,18329.44,Olsen Group,WIRE-E906282B3403,TRU-005,In-Review
REM-000191,LN-002328,2025-08-16,577.47,"Daniels, Ward and Reynolds",WIRE-9FE21F941812,TRU-010,Unmatched
REM-000192,LN-000198,2025-05-22,44906.96,"King, Taylor and Middleton",WIRE-9CC48E556726,TRU-001,Matched
REM-000193,LN-001931,2025-11-06,29209.2,"Owens, Molina and Hensley",WIRE-0D7A78BF7D58,TRU-005,Unmatched
REM-000194,LN-002192,2026-03-13,45406.15,Preston LLC,WIRE-7AAF514A296D,TRU-006,Matched
REM-000195,LN-000609,2025-03-22,25419.15,"Hull, Mcgrath and Thomas",WIRE-03F8F0731E0F,TRU-003,In-Review
REM-000196,LN-001148,2026-01-14,33093.37,Fernandez-Collier,WIRE-356B7D232681,TRU-007,Matched
REM-000197,LN-000187,2025-08-22,51378.78,Rosales PLC,WIRE-5B6AC55C313D,TRU-006,Matched
REM-000198,LN-001795,2025-12-01,2562.81,Rowland and Sons,WIRE-1E105814B8DB,TRU-004,Matched
REM-000199,LN-000660,2026-03-05,28753.53,"Sanders, Colon and Gilmore",WIRE-CBF5F17AABC4,TRU-003,Matched
REM-000200,LN-001956,2025-12-04,55276.85,"Stephens, Stone and Johnston",WIRE-421B8909AAF0,TRU-005,Matched
REM-000201,LN-002451,2025-08-25,13877.26,Michael-Ortega,WIRE-B41634857D44,TRU-003,Matched
REM-000202,LN-001370,2025-07-17,0.0,Singh Ltd,WIRE-02244FE322F4,TRU-010,Unmatched
REM-000203,LN-001987,2025-11-10,45722.58,"French, Burns and Nguyen",WIRE-09E0E341ECE9,TRU-009,Matched
REM-000204,LN-001535,2025-10-21,20970.68,Kelley-Foster,WIRE-A03B9CF4FD62,TRU-009,In-Review
REM-000205,LN-000147,2025-12-12,30673.43,"Weiss, Robinson and Bell",WIRE-AE52179B3D1B,TRU-006,Matched
REM-000206,LN-001735,2025-12-06,0.0,Watts-Travis,WIRE-1DB267ED687A,TRU-006,Matched
REM-000207,LN-001844,2025-09-28,30840.51,Bowman Group,WIRE-F1DBEB2ABA44,TRU-004,In-Review
REM-000208,LN-000489,2025-04-24,47545.37,Flowers and Sons,WIRE-78A12F37CC80,TRU-004,Matched
REM-000209,LN-001960,2025-07-07,39389.76,"Smith, Leon and Wagner",WIRE-112FE93DB193,TRU-002,Unmatched
REM-000210,LN-001664,2025-12-14,25099.69,Simpson Inc,WIRE-E457DFD72C59,TRU-010,Unmatched
REM-000211,LN-002386,2025-09-12,29318.84,"Clements, Allen and Sullivan",WIRE-E43AD5F3D814,TRU-004,Matched
REM-000212,LN-000641,2025-08-07,1493.52,Weaver Inc,WIRE-B9CDFC020BE1,TRU-008,Matched
REM-000213,LN-001803,2026-02-12,17985.94,Johnson Inc,WIRE-6238EFD090D9,TRU-010,Matched
REM-000214,LN-001970,2025-10-02,1796.74,Martinez-Lopez,WIRE-8E059BE6EA69,TRU-002,Matched
REM-000215,LN-002199,2025-06-26,22267.55,"Jones, King and Tapia",WIRE-DE2757F36225,TRU-009,Matched
REM-000216,LN-001439,2025-03-27,11583.56,Duffy-Stanley,WIRE-ECC234CC0F71,TRU-001,Unmatched
REM-000217,LN-001635,2026-01-18,46395.3,Wolfe LLC,WIRE-B58FE4CB11C0,TRU-002,Matched
REM-000218,LN-000263,2025-04-14,7434.16,Hughes-Clark,WIRE-0719EEABEF6F,TRU-002,Matched
REM-000219,LN-001788,2025-09-22,30889.71,Harvey-Gillespie,WIRE-A9485089252F,TRU-006,Matched
REM-000220,LN-002192,2026-03-11,45406.15,"Mendez, Williams and Henry",WIRE-B8104B7C48DB,TRU-007,In-Review
REM-000222,LN-000624,2026-02-24,24483.89,Scott Group,WIRE-ED2DB665102B,TRU-009,Matched
REM-000223,LN-001017,2026-03-03,4911.6,Mullins-Carrillo,WIRE-D19B4A199BC0,TRU-005,Matched
REM-000224,LN-000881,2025-07-22,11938.2,Barker-Oliver,WIRE-5DB83B832797,TRU-005,In-Review
REM-000225,LN-002050,2025-03-28,4545.4,Avery-Cohen,WIRE-15AB30E2E4B8,TRU-004,In-Review
REM-000226,LN-001328,2025-09-03,39590.08,James Group,WIRE-A5E924E74345,TRU-009,Matched
REM-000227,LN-002302,2025-09-06,31929.62,Wells PLC,WIRE-5C14577F4418,TRU-008,Unmatched
REM-000228,LN-000453,2025-05-09,21498.99,Miller Ltd,WIRE-CB0771BED30E,TRU-004,Matched
REM-000229,LN-001184,2025-08-31,46635.39,"Welch, Davis and James",WIRE-0E00A00F7BFB,TRU-004,In-Review
REM-000230,LN-002057,2025-05-12,23383.63,Allen-Riggs,WIRE-FBA1ADFB0C32,TRU-002,Matched
REM-000231,LN-001683,2025-10-25,32228.12,Morris PLC,WIRE-96EDEDC76F03,TRU-009,Matched
REM-000232,LN-002256,2026-02-27,28802.73,"Bond, Robinson and Jenkins",WIRE-1F02B84D5E2A,TRU-003,Matched
REM-000233,LN-001155,2025-11-20,36791.88,Sutton PLC,WIRE-879D14BEBD6A,TRU-004,Matched
REM-000234,LN-000404,2026-01-22,41409.64,"Norman, Walls and Wallace",WIRE-FD73129564EE,TRU-007,Unmatched
REM-000235,LN-002200,2025-05-19,19329.83,"White, Hill and Cunningham",WIRE-BA31AED2CB77,TRU-010,Matched
REM-000236,LN-002102,2025-10-29,26884.93,"Valdez, Williams and Richards",WIRE-44396E896A97,TRU-008,In-Review
